

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
16,Sell Short,12/09/2016 09:00,Sell3,$2884.00,$0.00,4,($135.00),-0.23%,$30.00,16.67%,,$0.00,$0.00
,Buy to Cover,12/09/2016 10:35,chiudoShort,$2890.75,,($135.00),($181.25),,($150.00),8.33%,-75.00%,$0.00,$0.00
17,Sell Short,20/09/2016 05:00,Sell2,$2901.50,$0.00,3,$45.00,0.10%,$86.25,63.89%,,$0.00,$0.00
,Buy to Cover,20/09/2016 10:35,chiudoShort,$2898.50,,$45.00,($136.25),,($48.75),69.44%,33.33%,$0.00,$0.00
18,Sell Short,20/09/2016 09:05,Sell3,$2904.50,$0.00,4,$120.00,0.21%,$175.00,97.22%,,$0.00,$0.00
,Buy to Cover,20/09/2016 10:35,chiudoShort,$2898.50,,$120.00,($16.25),,($5.00),69.44%,66.67%,$0.00,$0.00
19,Sell Short,22/09/2016 04:15,Sell2,$2920.50,$0.00,3,($108.75),-0.25%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,22/09/2016 10:35,chiudoShort,$2927.75,,($108.75),($125.00),,($202.50),46.30%,-53.70%,$0.00,$0.00
20,Sell Short,22/09/2016 05:05,Sell3,$2923.50,$0.00,4,($85.00),-0.15%,$15.00,6.67%,,$0.00,$0.00
,Buy to Cover,22/09/2016 10:35,chiudoShort,$2927.75,,($85.00),($210.00),,($210.00),55.56%,-37.78%,$0.00,$0.00
21,Sell Short,30/09/2016 06:00,Sell2,$2910.00,$0.00,3,($210.00),-0.48%,$45.00,16.00%,,$0.00,$0.00
,Buy to Cover,30/09/2016 10:35,chiudoShort,$2924.00,,($210.00),($420.00),,($236.25),9.33%,-74.67%,$0.00,$0.00
22,Sell Short,30/09/2016 07:55,Sell3,$2913.00,$0.00,4,($220.00),-0.38%,$50.00,16.39%,,$0.00,$0.00
,Buy to Cover,30/09/2016 10:35,chiudoShort,$2924.00,,($220.00),($640.00),,($255.00),11.48%,-72.13%,$0.00,$0.00
23,Sell Short,05/10/2016 06:55,Sell2,$2909.75,$0.00,3,($86.25),-0.20%,$22.50,17.14%,,$0.00,$0.00
,Buy to Cover,05/10/2016 10:35,chiudoShort,$2915.50,,($86.25),($726.25),,($108.75),17.14%,-65.71%,$0.00,$0.00
24,Sell Short,05/10/2016 08:35,Sell3,$2912.75,$0.00,4,($55.00),-0.09%,$35.00,29.17%,,$0.00,$0.00
,Buy to Cover,05/10/2016 10:35,chiudoShort,$2915.50,,($55.00),($781.25),,($85.00),25.00%,-45.83%,$0.00,$0.00
25,Sell Short,10/10/2016 08:30,Sell2,$2918.75,$0.00,3,($63.75),-0.15%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,10/10/2016 10:35,chiudoShort,$2923.00,,($63.75),($845.00),,($90.00),29.17%,-70.83%,$0.00,$0.00
26,Sell Short,10/10/2016 08:40,Sell3,$2921.75,$0.00,4,($25.00),-0.04%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,10/10/2016 10:35,chiudoShort,$2923.00,,($25.00),($870.00),,($60.00),58.33%,-41.67%,$0.00,$0.00
27,Sell Short,14/10/2016 04:25,Sell2,$2892.75,$0.00,3,($15.00),-0.03%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,14/10/2016 10:35,chiudoShort,$2893.75,,($15.00),($885.00),,($176.25),91.49%,-8.51%,$0.00,$0.00
28,Sell Short,14/10/2016 04:50,Sell3,$2895.75,$0.00,4,$40.00,0.07%,$50.00,22.22%,,$0.00,$0.00
,Buy to Cover,14/10/2016 10:35,chiudoShort,$2893.75,,$40.00,($845.00),,($175.00),95.56%,17.78%,$0.00,$0.00
29,Sell Short,19/10/2016 09:35,Sell2,$2899.50,$0.00,3,($11.25),-0.03%,$22.50,33.33%,,$0.00,$0.00
,Buy to Cover,19/10/2016 10:35,chiudoShort,$2900.25,,($11.25),($856.25),,($45.00),50.00%,-16.67%,$0.00,$0.00
30,Sell Short,26/10/2016 10:05,Sell2,$2899.75,$0.00,3,$3.75,0.01%,$18.75,45.45%,,$0.00,$0.00
,Buy to Cover,26/10/2016 10:35,chiudoShort,$2899.50,,$3.75,($852.50),,($22.50),63.64%,9.09%,$0.00,$0.00
31,Sell Short,27/10/2016 03:05,Sell2,$2898.75,$0.00,3,$101.25,0.23%,$101.25,81.82%,,$0.00,$0.00
,Buy to Cover,27/10/2016 04:15,Cover,$2892.00,,$101.25,($751.25),,($22.50),100.00%,81.82%,$0.00,$0.00
32,Sell Short,27/10/2016 05:40,Sell2,$2898.75,$0.00,3,$101.25,0.23%,$101.25,51.92%,,$0.00,$0.00
,Buy to Cover,27/10/2016 09:20,Cover,$2892.00,,$101.25,($650.00),,($93.75),100.00%,51.92%,$0.00,$0.00
