

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,19/08/2016 17:00,SX,$2091.3,,$159.00,($210.00),,($90.00),70.34%,44.92%,$0.00,$0.00
12,Buy,23/08/2016 03:15,LE,$2091.8,$0.00,3,($114.00),-0.18%,$84.00,39.44%,,$0.00,$0.00
,Sell,23/08/2016 17:00,LX,$2088.0,,($114.00),($324.00),,($129.00),7.04%,-53.52%,$0.00,$0.00
13,Sell Short,24/08/2016 08:50,SE,$2080.5,$0.00,3,$201.00,0.32%,$234.00,71.56%,,$0.00,$0.00
,Buy to Cover,24/08/2016 17:00,SX,$2073.8,,$201.00,($123.00),,($93.00),89.91%,61.47%,$0.00,$0.00
14,Buy,26/08/2016 07:20,LE,$2075.7,$0.00,3,$0.00,0.00%,$477.00,67.66%,,$0.00,$0.00
,Sell,26/08/2016 11:40,BreakEven Stop,$2075.7,,$0.00,($123.00),,($228.00),32.34%,0.00%,$0.00,$0.00
15,Buy,26/08/2016 11:40,LE,$2075.7,$0.00,3,($234.00),-0.38%,$0.00,0.00%,,$0.00,$0.00
,Sell,26/08/2016 12:15,SE,$2067.9,,($234.00),($357.00),,($234.00),0.00%,-100.00%,$0.00,$0.00
16,Sell Short,26/08/2016 12:15,SE,$2067.9,$0.00,3,($207.00),-0.33%,$18.00,8.00%,,$0.00,$0.00
,Buy to Cover,26/08/2016 12:55,LE,$2074.8,,($207.00),($564.00),,($207.00),0.00%,-92.00%,$0.00,$0.00
17,Buy,26/08/2016 12:55,LE,$2074.8,$0.00,3,($126.00),-0.20%,$69.00,26.74%,,$0.00,$0.00
,Sell,26/08/2016 17:00,LX,$2070.6,,($126.00),($690.00),,($189.00),24.42%,-48.84%,$0.00,$0.00
18,Sell Short,30/08/2016 15:30,SE,$2057.7,$0.00,3,($72.00),-0.12%,$9.00,9.37%,,$0.00,$0.00
,Buy to Cover,30/08/2016 18:05,SX,$2060.1,,($72.00),($762.00),,($87.00),15.63%,-75.00%,$0.00,$0.00
19,Buy,01/09/2016 11:05,LE,$2063.8,$0.00,3,($27.00),-0.04%,$15.00,13.16%,,$0.00,$0.00
,Sell,01/09/2016 17:00,LX,$2062.9,,($27.00),($789.00),,($99.00),63.16%,-23.68%,$0.00,$0.00
20,Buy,02/09/2016 08:35,LE,$2063.3,$0.00,3,$318.00,0.51%,$519.00,100.00%,,$0.00,$0.00
,Sell,02/09/2016 17:00,LX,$2073.9,,$318.00,($471.00),,$0.00,61.27%,61.27%,$0.00,$0.00
21,Buy,06/09/2016 05:35,LE,$2079.4,$0.00,3,$654.00,1.05%,$702.00,98.32%,,$0.00,$0.00
,Sell,06/09/2016 17:00,LX,$2101.2,,$654.00,$183.00,,($12.00),93.28%,91.60%,$0.00,$0.00
22,Sell Short,13/09/2016 13:05,SE,$2070.7,$0.00,3,$120.00,0.19%,$180.00,75.00%,,$0.00,$0.00
,Buy to Cover,13/09/2016 17:00,SX,$2066.7,,$120.00,$303.00,,($60.00),75.00%,50.00%,$0.00,$0.00
23,Buy,21/09/2016 00:25,LE,$2066.6,$0.00,3,($135.00),-0.22%,$18.00,11.76%,,$0.00,$0.00
,Sell,21/09/2016 00:35,SE,$2062.1,,($135.00),$168.00,,($135.00),0.00%,-88.24%,$0.00,$0.00
24,Sell Short,21/09/2016 00:35,SE,$2062.1,$0.00,3,($111.00),-0.18%,$189.00,63.00%,,$0.00,$0.00
,Buy to Cover,21/09/2016 02:15,LE,$2065.8,,($111.00),$57.00,,($111.00),0.00%,-37.00%,$0.00,$0.00
25,Buy,21/09/2016 02:15,LE,$2065.8,$0.00,3,$600.00,0.97%,$600.00,100.00%,,$0.00,$0.00
,Sell,21/09/2016 17:00,LX,$2085.8,,$600.00,$657.00,,$0.00,100.00%,100.00%,$0.00,$0.00
26,Sell Short,25/09/2016 22:55,SE,$2084.4,$0.00,3,($99.00),-0.16%,$66.00,22.68%,,$0.00,$0.00
,Buy to Cover,26/09/2016 17:00,SX,$2087.7,,($99.00),$558.00,,($225.00),43.30%,-34.02%,$0.00,$0.00
27,Sell Short,27/09/2016 08:20,SE,$2082.8,$0.00,3,$348.00,0.56%,$465.00,89.60%,,$0.00,$0.00
,Buy to Cover,28/09/2016 18:05,SX,$2071.2,,$348.00,$906.00,,($54.00),77.46%,67.05%,$0.00,$0.00
28,Buy,30/09/2016 05:40,LE,$2076.5,$0.00,3,($318.00),-0.51%,$21.00,6.19%,,$0.00,$0.00
,Sell,30/09/2016 12:45,SE,$2065.9,,($318.00),$588.00,,($318.00),0.00%,-93.81%,$0.00,$0.00
29,Sell Short,30/09/2016 12:45,SE,$2065.9,$0.00,3,$51.00,0.08%,$123.00,78.85%,,$0.00,$0.00
,Buy to Cover,30/09/2016 17:00,SX,$2064.2,,$51.00,$639.00,,($33.00),53.85%,32.69%,$0.00,$0.00
30,Sell Short,04/10/2016 08:15,SE,$2053.7,$0.00,3,$1116.00,1.81%,$1167.00,99.74%,,$0.00,$0.00
,Buy to Cover,04/10/2016 17:00,SX,$2016.5,,$1116.00,$1755.00,,($3.00),95.64%,95.38%,$0.00,$0.00
31,Sell Short,11/10/2016 04:05,SE,$2005.7,$0.00,3,$168.00,0.28%,$171.00,77.03%,,$0.00,$0.00
,Buy to Cover,11/10/2016 17:00,SX,$2000.1,,$168.00,$1923.00,,($51.00),98.65%,75.68%,$0.00,$0.00
32,Sell Short,12/10/2016 03:50,SE,$2001.0,$0.00,3,($57.00),-0.09%,$114.00,42.22%,,$0.00,$0.00
,Buy to Cover,12/10/2016 17:00,SX,$2002.9,,($57.00),$1866.00,,($156.00),36.67%,-21.11%,$0.00,$0.00
33,Buy,12/10/2016 22:25,LE,$2006.8,$0.00,3,($45.00),-0.07%,$99.00,39.76%,,$0.00,$0.00
,Sell,13/10/2016 18:05,LX,$2005.3,,($45.00),$1821.00,,($150.00),42.17%,-18.07%,$0.00,$0.00
34,Sell Short,14/10/2016 06:10,SE,$1999.6,$0.00,3,$63.00,0.11%,$201.00,50.00%,,$0.00,$0.00
,Buy to Cover,14/10/2016 17:00,SX,$1997.5,,$63.00,$1884.00,,($201.00),65.67%,15.67%,$0.00,$0.00
35,Buy,18/10/2016 00:05,LE,$2005.8,$0.00,3,$102.00,0.17%,$165.00,67.07%,,$0.00,$0.00
,Sell,18/10/2016 17:00,LX,$2009.2,,$102.00,$1986.00,,($81.00),74.39%,41.46%,$0.00,$0.00
36,Buy,19/10/2016 05:30,LE,$2014.3,$0.00,3,$54.00,0.09%,$180.00,85.71%,,$0.00,$0.00
,Sell,19/10/2016 17:00,LX,$2016.1,,$54.00,$2040.00,,($30.00),40.00%,25.71%,$0.00,$0.00
37,Sell Short,24/10/2016 10:30,SE,$2008.6,$0.00,3,($63.00),-0.10%,$78.00,55.32%,,$0.00,$0.00
,Buy to Cover,24/10/2016 17:00,SX,$2010.7,,($63.00),$1977.00,,($63.00),0.00%,-44.68%,$0.00,$0.00
38,Buy,25/10/2016 10:55,LE,$2017.3,$0.00,3,$96.00,0.16%,$180.00,88.24%,,$0.00,$0.00
,Sell,25/10/2016 17:00,LX,$2020.5,,$96.00,$2073.00,,($24.00),58.82%,47.06%,$0.00,$0.00
39,Sell Short,28/10/2016 04:40,SE,$2012.3,$0.00,3,($180.00),-0.30%,$129.00,41.75%,,$0.00,$0.00
,Buy to Cover,28/10/2016 09:15,LE,$2018.3,,($180.00),$1893.00,,($180.00),0.00%,-58.25%,$0.00,$0.00
40,Buy,28/10/2016 09:15,LE,$2018.3,$0.00,3,$150.00,0.25%,$381.00,72.99%,,$0.00,$0.00
,Sell,30/10/2016 18:05,LX,$2023.3,,$150.00,$2043.00,,($141.00),55.75%,28.74%,$0.00,$0.00
41,Buy,01/11/2016 05:30,LE,$2028.7,$0.00,3,$186.00,0.31%,$300.00,92.59%,,$0.00,$0.00
,Sell,01/11/2016 17:00,LX,$2034.9,,$186.00,$2229.00,,($24.00),64.81%,57.41%,$0.00,$0.00
42,Sell Short,07/11/2016 04:00,SE,$2031.5,$0.00,3,$96.00,0.16%,$216.00,66.67%,,$0.00,$0.00
,Buy to Cover,07/11/2016 17:00,SX,$2028.3,,$96.00,$2325.00,,($108.00),62.96%,29.63%,$0.00,$0.00
43,Buy,08/11/2016 21:05,LE,$2036.1,$0.00,3,$0.00,0.00%,$1437.00,99.17%,,$0.00,$0.00
,Sell,09/11/2016 09:50,BreakEven Stop,$2036.1,,$0.00,$2325.00,,($12.00),0.83%,0.00%,$0.00,$0.00
44,Buy,09/11/2016 09:50,LE,$2036.1,$0.00,3,($366.00),-0.60%,$24.00,6.15%,,$0.00,$0.00
,Sell,09/11/2016 12:20,Stop Loss,$2023.9,,($366.00),$1959.00,,($366.00),0.00%,-93.85%,$0.00,$0.00
45,Sell Short,09/11/2016 12:25,SE,$2020.1,$0.00,3,($87.00),-0.14%,$117.00,45.35%,,$0.00,$0.00
,Buy to Cover,09/11/2016 17:00,SX,$2023.0,,($87.00),$1872.00,,($141.00),20.93%,-33.72%,$0.00,$0.00
46,Sell Short,18/11/2016 02:50,SE,$1950.7,$0.00,3,($102.00),-0.17%,$42.00,11.38%,,$0.00,$0.00
,Buy to Cover,18/11/2016 17:00,SX,$1954.1,,($102.00),$1770.00,,($327.00),60.98%,-27.64%,$0.00,$0.00
47,Sell Short,22/11/2016 10:35,SE,$1952.3,$0.00,3,($153.00),-0.26%,$30.00,11.90%,,$0.00,$0.00
,Buy to Cover,22/11/2016 17:00,SX,$1957.4,,($153.00),$1617.00,,($222.00),27.38%,-60.71%,$0.00,$0.00
48,Sell Short,23/11/2016 08:30,SE,$1949.1,$0.00,3,$501.00,0.86%,$663.00,99.10%,,$0.00,$0.00
,Buy to Cover,23/11/2016 17:00,SX,$1932.4,,$501.00,$2118.00,,($6.00),75.78%,74.89%,$0.00,$0.00
49,Sell Short,25/11/2016 00:05,SE,$1923.1,$0.00,3,($348.00),-0.60%,$30.00,7.94%,,$0.00,$0.00
,Buy to Cover,25/11/2016 03:25,Stop Loss,$1934.7,,($348.00),$1770.00,,($348.00),0.00%,-92.06%,$0.00,$0.00
50,Buy,25/11/2016 03:25,LE,$1935.0,$0.00,3,($273.00),-0.47%,$102.00,27.20%,,$0.00,$0.00
,Sell,25/11/2016 11:35,SE,$1925.9,,($273.00),$1497.00,,($273.00),0.00%,-72.80%,$0.00,$0.00
51,Sell Short,25/11/2016 11:35,SE,$1925.9,$0.00,3,($351.00),-0.61%,$63.00,15.22%,,$0.00,$0.00
,Buy to Cover,27/11/2016 19:50,Stop Loss,$1937.6,,($351.00),$1146.00,,($351.00),0.00%,-84.78%,$0.00,$0.00
52,Sell Short,29/11/2016 07:50,SE,$1929.1,$0.00,3,($129.00),-0.22%,$93.00,32.63%,,$0.00,$0.00
,Buy to Cover,29/11/2016 17:00,SX,$1933.4,,($129.00),$1017.00,,($192.00),22.11%,-45.26%,$0.00,$0.00
53,Sell Short,30/11/2016 08:05,SE,$1927.0,$0.00,3,$267.00,0.46%,$360.00,71.86%,,$0.00,$0.00
,Buy to Cover,30/11/2016 17:00,SX,$1918.1,,$267.00,$1284.00,,($141.00),81.44%,53.29%,$0.00,$0.00
54,Buy,04/12/2016 22:50,LE,$1922.7,$0.00,3,($297.00),-0.51%,$6.00,1.98%,,$0.00,$0.00
,Sell,05/12/2016 03:30,SE,$1912.8,,($297.00),$987.00,,($297.00),0.00%,-98.02%,$0.00,$0.00
55,Sell Short,05/12/2016 03:30,SE,$1912.8,$0.00,3,($84.00),-0.15%,$324.00,57.14%,,$0.00,$0.00
,Buy to Cover,05/12/2016 17:00,SX,$1915.6,,($84.00),$903.00,,($243.00),28.04%,-14.81%,$0.00,$0.00
56,Buy,07/12/2016 07:35,LE,$1919.2,$0.00,3,($15.00),-0.03%,$186.00,70.45%,,$0.00,$0.00
,Sell,07/12/2016 17:00,LX,$1918.7,,($15.00),$888.00,,($78.00),23.86%,-5.68%,$0.00,$0.00
57,Sell Short,09/12/2016 07:00,SE,$1909.6,$0.00,3,$180.00,0.31%,$252.00,60.43%,,$0.00,$0.00
,Buy to Cover,09/12/2016 17:00,SX,$1903.6,,$180.00,$1068.00,,($165.00),82.73%,43.17%,$0.00,$0.00
58,Buy,14/12/2016 09:15,LE,$1909.9,$0.00,3,($282.00),-0.49%,$15.00,5.05%,,$0.00,$0.00
,Sell,14/12/2016 14:05,SE,$1900.5,,($282.00),$786.00,,($282.00),0.00%,-94.95%,$0.00,$0.00
59,Sell Short,14/12/2016 14:05,SE,$1900.5,$0.00,3,$384.00,0.67%,$504.00,87.96%,,$0.00,$0.00
,Buy to Cover,14/12/2016 17:00,SX,$1887.7,,$384.00,$1170.00,,($69.00),79.06%,67.02%,$0.00,$0.00
60,Sell Short,20/12/2016 03:40,SE,$1876.7,$0.00,3,($12.00),-0.02%,$183.00,70.93%,,$0.00,$0.00
,Buy to Cover,20/12/2016 17:00,SX,$1877.1,,($12.00),$1158.00,,($75.00),24.42%,-4.65%,$0.00,$0.00
61,Buy,23/12/2016 10:00,LE,$1878.1,$0.00,3,($15.00),-0.03%,$66.00,46.81%,,$0.00,$0.00
,Sell,26/12/2016 18:05,LX,$1877.6,,($15.00),$1143.00,,($75.00),42.55%,-10.64%,$0.00,$0.00
62,Buy,27/12/2016 01:30,LE,$1883.0,$0.00,3,$0.00,0.00%,$345.00,100.00%,,$0.00,$0.00
,Sell,27/12/2016 09:55,BreakEven Stop,$1883.0,,$0.00,$1143.00,,$0.00,0.00%,0.00%,$0.00,$0.00
63,Buy,27/12/2016 09:55,LE,$1883.0,$0.00,3,$6.00,0.01%,$21.00,18.42%,,$0.00,$0.00
,Sell,27/12/2016 17:00,LX,$1883.2,,$6.00,$1149.00,,($93.00),86.84%,5.26%,$0.00,$0.00
64,Buy,28/12/2016 21:05,LE,$1891.1,$0.00,3,$327.00,0.58%,$378.00,83.44%,,$0.00,$0.00
,Sell,29/12/2016 17:00,LX,$1902.0,,$327.00,$1476.00,,($75.00),88.74%,72.19%,$0.00,$0.00
65,Sell Short,03/01/2017 04:45,SE,$1892.0,$0.00,3,($342.00),-0.60%,$63.00,15.56%,,$0.00,$0.00
,Buy to Cover,03/01/2017 11:20,Stop Loss,$1903.4,,($342.00),$1134.00,,($342.00),0.00%,-84.44%,$0.00,$0.00
66,Buy,03/01/2017 11:45,LE,$1906.6,$0.00,3,($102.00),-0.18%,$78.00,29.89%,,$0.00,$0.00
,Sell,03/01/2017 17:00,LX,$1903.2,,($102.00),$1032.00,,($183.00),31.03%,-39.08%,$0.00,$0.00
67,Buy,04/01/2017 21:10,LE,$1914.7,$0.00,3,$276.00,0.48%,$426.00,97.26%,,$0.00,$0.00
,Sell,05/01/2017 17:00,LX,$1923.9,,$276.00,$1308.00,,($12.00),65.75%,63.01%,$0.00,$0.00
68,Sell Short,11/01/2017 10:00,SE,$1924.6,$0.00,3,($246.00),-0.43%,$126.00,33.87%,,$0.00,$0.00
,Buy to Cover,11/01/2017 12:55,LE,$1932.8,,($246.00),$1062.00,,($246.00),0.00%,-66.13%,$0.00,$0.00
69,Buy,11/01/2017 12:55,LE,$1932.8,$0.00,3,$78.00,0.13%,$267.00,87.25%,,$0.00,$0.00
,Sell,11/01/2017 18:05,LX,$1935.4,,$78.00,$1140.00,,($39.00),38.24%,25.49%,$0.00,$0.00
70,Buy,12/01/2017 03:55,LE,$1949.1,$0.00,3,($321.00),-0.55%,$15.00,4.13%,,$0.00,$0.00
,Sell,12/01/2017 17:00,LX,$1938.4,,($321.00),$819.00,,($348.00),7.44%,-88.43%,$0.00,$0.00
71,Sell Short,13/01/2017 09:50,SE,$1932.7,$0.00,3,($228.00),-0.39%,$54.00,15.65%,,$0.00,$0.00
,Buy to Cover,13/01/2017 17:00,SX,$1940.3,,($228.00),$591.00,,($291.00),18.26%,-66.09%,$0.00,$0.00
72,Buy,17/01/2017 01:00,LE,$1953.2,$0.00,3,$195.00,0.33%,$261.00,90.62%,,$0.00,$0.00
,Sell,17/01/2017 17:00,LX,$1959.7,,$195.00,$786.00,,($27.00),77.08%,67.71%,$0.00,$0.00
73,Buy,20/01/2017 12:05,LE,$1948.7,$0.00,3,$147.00,0.25%,$270.00,73.17%,,$0.00,$0.00
,Sell,20/01/2017 17:00,LX,$1953.6,,$147.00,$933.00,,($99.00),66.67%,39.84%,$0.00,$0.00
74,Sell Short,24/01/2017 13:55,SE,$1953.0,$0.00,3,$39.00,0.07%,$108.00,94.74%,,$0.00,$0.00
,Buy to Cover,24/01/2017 17:00,SX,$1951.7,,$39.00,$972.00,,($6.00),39.47%,34.21%,$0.00,$0.00
75,Sell Short,25/01/2017 09:20,SE,$1942.5,$0.00,3,($12.00),-0.02%,$201.00,81.71%,,$0.00,$0.00
,Buy to Cover,25/01/2017 17:00,SX,$1942.9,,($12.00),$960.00,,($45.00),13.41%,-4.88%,$0.00,$0.00
76,Buy,31/01/2017 00:05,LE,$1943.9,$0.00,3,$261.00,0.45%,$420.00,72.16%,,$0.00,$0.00
,Sell,31/01/2017 17:00,LX,$1952.6,,$261.00,$1221.00,,($162.00),72.68%,44.85%,$0.00,$0.00
77,Buy,02/02/2017 05:15,LE,$1963.7,$0.00,3,($162.00),-0.27%,$129.00,36.44%,,$0.00,$0.00
,Sell,02/02/2017 17:00,LX,$1958.3,,($162.00),$1059.00,,($225.00),17.80%,-45.76%,$0.00,$0.00
78,Buy,08/02/2017 03:55,LE,$1978.6,$0.00,3,$156.00,0.26%,$252.00,85.71%,,$0.00,$0.00
,Sell,08/02/2017 17:00,LX,$1983.8,,$156.00,$1215.00,,($42.00),67.35%,53.06%,$0.00,$0.00
79,Sell Short,13/02/2017 10:20,SE,$1963.8,$0.00,3,($90.00),-0.15%,$93.00,36.47%,,$0.00,$0.00
,Buy to Cover,13/02/2017 17:00,SX,$1966.8,,($90.00),$1125.00,,($162.00),28.24%,-35.29%,$0.00,$0.00
80,Sell Short,15/02/2017 08:40,SE,$1961.3,$0.00,3,($357.00),-0.61%,$96.00,21.19%,,$0.00,$0.00
,Buy to Cover,15/02/2017 11:55,Stop Loss,$1973.2,,($357.00),$768.00,,($357.00),0.00%,-78.81%,$0.00,$0.00
