

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,08/07/2021 10:45,Cover,$5103.25,,($87.50),$1383.75,,($93.75),5.00%,-70.00%,$0.00,$0.00
183,Sell Short,19/07/2021 09:00,Es,$5070.00,$0.00,1,$186.25,0.73%,$233.75,100.00%,,$0.00,$0.00
,Buy to Cover,19/07/2021 15:00,EoDS,$5032.75,,$186.25,$1570.00,,$0.00,79.68%,79.68%,$0.00,$0.00
184,Sell Short,27/07/2021 11:30,Es,$5168.75,$0.00,1,($38.75),-0.15%,$6.25,13.51%,,$0.00,$0.00
,Buy to Cover,27/07/2021 11:45,Cover,$5176.50,,($38.75),$1531.25,,($40.00),2.70%,-83.78%,$0.00,$0.00
185,Sell Short,16/08/2021 09:15,Es,$5236.75,$0.00,1,($27.50),-0.11%,$11.25,23.08%,,$0.00,$0.00
,Buy to Cover,16/08/2021 09:30,Cover,$5242.25,,($27.50),$1503.75,,($37.50),20.51%,-56.41%,$0.00,$0.00
186,Sell Short,17/08/2021 09:00,Es,$5250.00,$0.00,1,$85.00,0.32%,$193.75,93.37%,,$0.00,$0.00
,Buy to Cover,17/08/2021 15:00,EoDS,$5233.00,,$85.00,$1588.75,,($13.75),47.59%,40.96%,$0.00,$0.00
187,Sell Short,14/09/2021 12:30,Es,$5244.25,$0.00,1,($31.25),-0.12%,$1.25,3.57%,,$0.00,$0.00
,Buy to Cover,14/09/2021 12:45,Cover,$5250.50,,($31.25),$1557.50,,($33.75),7.14%,-89.29%,$0.00,$0.00
188,Sell Short,16/09/2021 09:30,Es,$5251.75,$0.00,1,($12.50),-0.05%,$25.00,58.82%,,$0.00,$0.00
,Buy to Cover,16/09/2021 09:45,Cover,$5254.25,,($12.50),$1545.00,,($17.50),11.76%,-29.41%,$0.00,$0.00
189,Sell Short,17/09/2021 10:00,Es,$5237.00,$0.00,1,($31.25),-0.12%,$23.75,41.30%,,$0.00,$0.00
,Buy to Cover,17/09/2021 10:30,Cover,$5243.25,,($31.25),$1513.75,,($33.75),4.35%,-54.35%,$0.00,$0.00
190,Sell Short,20/09/2021 09:00,Es,$5177.00,$0.00,1,$193.75,0.75%,$372.50,96.44%,,$0.00,$0.00
,Buy to Cover,20/09/2021 15:00,EoDS,$5138.25,,$193.75,$1707.50,,($13.75),53.72%,50.16%,$0.00,$0.00
191,Sell Short,28/09/2021 09:15,Es,$5194.25,$0.00,1,$160.00,0.62%,$256.25,100.00%,,$0.00,$0.00
,Buy to Cover,28/09/2021 15:00,EoDS,$5162.25,,$160.00,$1867.50,,$0.00,62.44%,62.44%,$0.00,$0.00
192,Sell Short,30/09/2021 11:30,Es,$5120.00,$0.00,1,($8.75),-0.03%,$35.00,46.67%,,$0.00,$0.00
,Buy to Cover,30/09/2021 12:15,Cover,$5121.75,,($8.75),$1858.75,,($40.00),41.67%,-11.67%,$0.00,$0.00
193,Sell Short,04/10/2021 10:00,Es,$5104.50,$0.00,1,$18.75,0.07%,$141.25,98.26%,,$0.00,$0.00
,Buy to Cover,04/10/2021 15:00,EoDS,$5100.75,,$18.75,$1877.50,,($2.50),14.78%,13.04%,$0.00,$0.00
194,Sell Short,23/11/2021 10:00,Es,$5470.25,$0.00,1,($13.75),-0.05%,$63.75,65.38%,,$0.00,$0.00
,Buy to Cover,23/11/2021 10:30,Cover,$5473.00,,($13.75),$1863.75,,($33.75),20.51%,-14.10%,$0.00,$0.00
195,Sell Short,26/11/2021 09:00,Es,$5430.75,$0.00,1,($186.25),-0.69%,$225.00,48.65%,,$0.00,$0.00
,Buy to Cover,29/11/2021 15:00,EoDS,$5468.00,,($186.25),$1677.50,,($237.50),11.08%,-40.27%,$0.00,$0.00
196,Sell Short,30/11/2021 09:00,Es,$5432.50,$0.00,1,($20.00),-0.07%,$45.00,47.37%,,$0.00,$0.00
,Buy to Cover,30/11/2021 09:15,Cover,$5436.50,,($20.00),$1657.50,,($50.00),31.58%,-21.05%,$0.00,$0.00
197,Sell Short,03/12/2021 10:15,Es,$5331.50,$0.00,1,($12.50),-0.05%,$43.75,50.72%,,$0.00,$0.00
,Buy to Cover,03/12/2021 10:30,Cover,$5334.00,,($12.50),$1645.00,,($42.50),34.78%,-14.49%,$0.00,$0.00
198,Sell Short,14/12/2021 11:30,Es,$5417.00,$0.00,1,($20.00),-0.07%,$18.75,44.12%,,$0.00,$0.00
,Buy to Cover,14/12/2021 11:45,Cover,$5421.00,,($20.00),$1625.00,,($23.75),8.82%,-47.06%,$0.00,$0.00
199,Sell Short,17/12/2021 09:00,Es,$5419.50,$0.00,1,($47.50),-0.18%,$8.75,6.86%,,$0.00,$0.00
,Buy to Cover,17/12/2021 09:15,Cover,$5429.00,,($47.50),$1577.50,,($118.75),55.88%,-37.25%,$0.00,$0.00
200,Sell Short,20/12/2021 09:00,Es,$5366.00,$0.00,1,$15.00,0.06%,$153.75,81.46%,,$0.00,$0.00
,Buy to Cover,20/12/2021 15:00,EoDS,$5363.00,,$15.00,$1592.50,,($35.00),26.49%,7.95%,$0.00,$0.00
201,Sell Short,10/01/2022 09:15,Es,$5416.00,$0.00,1,($91.25),-0.34%,$140.00,59.57%,,$0.00,$0.00
,Buy to Cover,10/01/2022 13:00,Cover,$5434.25,,($91.25),$1501.25,,($95.00),1.60%,-38.83%,$0.00,$0.00
202,Sell Short,18/01/2022 09:00,Es,$5410.50,$0.00,1,$157.50,0.58%,$170.00,82.93%,,$0.00,$0.00
,Buy to Cover,18/01/2022 15:00,EoDS,$5379.00,,$157.50,$1658.75,,($35.00),93.90%,76.83%,$0.00,$0.00
203,Sell Short,24/01/2022 09:15,Es,$5111.75,$0.00,1,($87.50),-0.34%,$167.50,64.42%,,$0.00,$0.00
,Buy to Cover,24/01/2022 10:00,Cover,$5129.25,,($87.50),$1571.25,,($92.50),1.92%,-33.65%,$0.00,$0.00
204,Sell Short,17/02/2022 09:15,Es,$5226.50,$0.00,1,($41.25),-0.16%,$23.75,33.93%,,$0.00,$0.00
,Buy to Cover,17/02/2022 09:30,Cover,$5234.75,,($41.25),$1530.00,,($46.25),7.14%,-58.93%,$0.00,$0.00
205,Sell Short,22/02/2022 13:00,Es,$5097.75,$0.00,1,($151.25),-0.59%,$105.00,35.29%,,$0.00,$0.00
,Buy to Cover,22/02/2022 14:15,Cover,$5128.00,,($151.25),$1378.75,,($192.50),13.87%,-50.84%,$0.00,$0.00
206,Sell Short,23/02/2022 14:00,Es,$5050.25,$0.00,1,($20.00),-0.08%,$55.00,51.16%,,$0.00,$0.00
,Buy to Cover,23/02/2022 14:45,Cover,$5054.25,,($20.00),$1358.75,,($52.50),30.23%,-18.60%,$0.00,$0.00
207,Sell Short,24/02/2022 09:00,Es,$4945.50,$0.00,1,($145.00),-0.59%,$31.25,16.78%,,$0.00,$0.00
,Buy to Cover,24/02/2022 09:15,Cover,$4974.50,,($145.00),$1213.75,,($155.00),5.37%,-77.85%,$0.00,$0.00
208,Sell Short,04/03/2022 09:30,Es,$5108.50,$0.00,1,($37.50),-0.15%,$21.25,29.31%,,$0.00,$0.00
,Buy to Cover,04/03/2022 09:45,Cover,$5116.00,,($37.50),$1176.25,,($51.25),18.97%,-51.72%,$0.00,$0.00
209,Sell Short,07/03/2022 11:00,Es,$5067.50,$0.00,1,$180.00,0.71%,$230.00,78.97%,,$0.00,$0.00
,Buy to Cover,07/03/2022 15:00,EoDS,$5031.50,,$180.00,$1356.25,,($61.25),82.83%,61.80%,$0.00,$0.00
210,Sell Short,10/03/2022 10:45,Es,$5025.00,$0.00,1,($27.50),-0.11%,$17.50,38.89%,,$0.00,$0.00
,Buy to Cover,10/03/2022 11:00,Cover,$5030.50,,($27.50),$1328.75,,($27.50),0.00%,-61.11%,$0.00,$0.00
211,Sell Short,06/04/2022 09:15,Es,$5289.25,$0.00,1,($15.00),-0.06%,$55.00,56.41%,,$0.00,$0.00
,Buy to Cover,06/04/2022 11:15,Cover,$5292.25,,($15.00),$1313.75,,($42.50),28.21%,-15.38%,$0.00,$0.00
212,Sell Short,11/04/2022 10:00,Es,$5254.25,$0.00,1,$88.75,0.34%,$96.25,68.14%,,$0.00,$0.00
,Buy to Cover,11/04/2022 15:00,EoDS,$5236.50,,$88.75,$1402.50,,($45.00),94.69%,62.83%,$0.00,$0.00
213,Sell Short,21/04/2022 14:00,Es,$5233.00,$0.00,1,$80.00,0.31%,$127.50,97.14%,,$0.00,$0.00
,Buy to Cover,21/04/2022 15:00,EoDS,$5217.00,,$80.00,$1482.50,,($3.75),63.81%,60.95%,$0.00,$0.00
214,Sell Short,22/04/2022 10:15,Es,$5154.75,$0.00,1,($37.50),-0.15%,$20.00,25.00%,,$0.00,$0.00
,Buy to Cover,22/04/2022 10:30,Cover,$5162.25,,($37.50),$1445.00,,($60.00),28.13%,-46.88%,$0.00,$0.00
215,Sell Short,26/04/2022 10:00,Es,$5039.00,$0.00,1,($56.25),-0.22%,$71.25,49.57%,,$0.00,$0.00
,Buy to Cover,26/04/2022 11:45,Cover,$5050.25,,($56.25),$1388.75,,($72.50),11.30%,-39.13%,$0.00,$0.00
216,Sell Short,05/05/2022 10:30,Es,$4976.75,$0.00,1,$156.25,0.63%,$268.75,75.97%,,$0.00,$0.00
,Buy to Cover,05/05/2022 15:00,EoDS,$4945.50,,$156.25,$1545.00,,($85.00),68.20%,44.17%,$0.00,$0.00
217,Sell Short,18/05/2022 10:30,Es,$4816.75,$0.00,1,$377.50,1.57%,$415.00,99.70%,,$0.00,$0.00
,Buy to Cover,18/05/2022 15:00,EoDS,$4741.25,,$377.50,$1922.50,,($1.25),90.99%,90.69%,$0.00,$0.00
218,Sell Short,24/05/2022 09:30,Es,$4710.00,$0.00,1,($41.25),-0.18%,$72.50,59.18%,,$0.00,$0.00
,Buy to Cover,24/05/2022 11:00,Cover,$4718.25,,($41.25),$1881.25,,($50.00),7.14%,-33.67%,$0.00,$0.00
219,Sell Short,10/06/2022 09:15,Es,$4756.75,$0.00,1,$65.00,0.27%,$176.25,80.11%,,$0.00,$0.00
,Buy to Cover,10/06/2022 15:00,EoDS,$4743.75,,$65.00,$1946.25,,($43.75),49.43%,29.55%,$0.00,$0.00
220,Sell Short,13/06/2022 09:00,Es,$4626.00,$0.00,1,$307.50,1.33%,$315.00,84.85%,,$0.00,$0.00
,Buy to Cover,13/06/2022 15:00,EoDS,$4564.50,,$307.50,$2253.75,,($56.25),97.98%,82.83%,$0.00,$0.00
221,Sell Short,05/07/2022 09:00,Es,$4575.25,$0.00,1,($55.00),-0.24%,$48.75,41.49%,,$0.00,$0.00
,Buy to Cover,05/07/2022 09:30,Cover,$4586.25,,($55.00),$2198.75,,($68.75),11.70%,-46.81%,$0.00,$0.00
222,Sell Short,14/07/2022 09:00,Es,$4554.25,$0.00,1,($116.25),-0.51%,$43.75,25.00%,,$0.00,$0.00
,Buy to Cover,14/07/2022 10:45,Cover,$4577.50,,($116.25),$2082.50,,($131.25),8.57%,-66.43%,$0.00,$0.00
223,Sell Short,22/08/2022 09:30,Es,$4985.50,$0.00,1,$158.75,0.64%,$161.25,94.85%,,$0.00,$0.00
,Buy to Cover,22/08/2022 15:00,EoDS,$4953.75,,$158.75,$2241.25,,($8.75),98.53%,93.38%,$0.00,$0.00
224,Sell Short,26/08/2022 10:30,Es,$4943.75,$0.00,1,$282.50,1.14%,$287.50,95.04%,,$0.00,$0.00
,Buy to Cover,26/08/2022 15:00,EoDS,$4887.25,,$282.50,$2523.75,,($15.00),98.35%,93.39%,$0.00,$0.00
225,Sell Short,13/09/2022 09:00,Es,$4841.50,$0.00,1,$430.00,1.78%,$430.00,90.77%,,$0.00,$0.00
,Buy to Cover,13/09/2022 14:45,Profit Target,$4755.50,,$430.00,$2953.75,,($43.75),100.00%,90.77%,$0.00,$0.00
226,Sell Short,16/09/2022 09:00,Es,$4668.75,$0.00,1,($86.25),-0.37%,$50.00,31.01%,,$0.00,$0.00
,Buy to Cover,16/09/2022 09:30,Cover,$4686.00,,($86.25),$2867.50,,($111.25),15.50%,-53.49%,$0.00,$0.00
227,Sell Short,20/09/2022 13:15,Es,$4650.75,$0.00,1,($36.25),-0.16%,$3.75,8.57%,,$0.00,$0.00
,Buy to Cover,20/09/2022 13:30,Cover,$4658.00,,($36.25),$2831.25,,($40.00),8.57%,-82.86%,$0.00,$0.00
228,Sell Short,23/09/2022 11:45,Es,$4484.00,$0.00,1,($77.50),-0.35%,$15.00,15.38%,,$0.00,$0.00
,Buy to Cover,23/09/2022 12:15,Cover,$4499.50,,($77.50),$2753.75,,($82.50),5.13%,-79.49%,$0.00,$0.00
229,Sell Short,07/10/2022 11:00,Es,$4481.00,$0.00,1,$135.00,0.60%,$218.75,88.83%,,$0.00,$0.00
,Buy to Cover,07/10/2022 15:00,EoDS,$4454.00,,$135.00,$2888.75,,($27.50),65.99%,54.82%,$0.00,$0.00
230,Sell Short,13/10/2022 09:00,Es,$4317.75,$0.00,1,($138.75),-0.64%,$16.25,8.90%,,$0.00,$0.00
,Buy to Cover,13/10/2022 09:15,Cover,$4345.50,,($138.75),$2750.00,,($166.25),15.07%,-76.03%,$0.00,$0.00
231,Sell Short,14/10/2022 11:30,Es,$4413.75,$0.00,1,($46.25),-0.21%,$17.50,26.42%,,$0.00,$0.00
,Buy to Cover,14/10/2022 11:45,Cover,$4423.00,,($46.25),$2703.75,,($48.75),3.77%,-69.81%,$0.00,$0.00
232,Sell Short,09/11/2022 14:00,Es,$4574.25,$0.00,1,$63.75,0.28%,$65.00,65.82%,,$0.00,$0.00
,Buy to Cover,09/11/2022 15:00,EoDS,$4561.50,,$63.75,$2767.50,,($33.75),98.73%,64.56%,$0.00,$0.00
233,Sell Short,02/12/2022 09:00,Es,$4840.75,$0.00,1,($80.00),-0.33%,$23.75,20.65%,,$0.00,$0.00
,Buy to Cover,02/12/2022 09:30,Cover,$4856.75,,($80.00),$2687.50,,($91.25),9.78%,-69.57%,$0.00,$0.00
234,Sell Short,05/12/2022 11:00,Es,$4829.50,$0.00,1,$138.75,0.57%,$185.00,93.08%,,$0.00,$0.00
,Buy to Cover,05/12/2022 15:00,EoDS,$4801.75,,$138.75,$2826.25,,($13.75),76.73%,69.81%,$0.00,$0.00
235,Sell Short,06/12/2022 11:15,Es,$4761.00,$0.00,1,$73.75,0.31%,$172.50,86.25%,,$0.00,$0.00
,Buy to Cover,06/12/2022 15:00,EoDS,$4746.25,,$73.75,$2900.00,,($27.50),50.63%,36.88%,$0.00,$0.00
236,Sell Short,15/12/2022 09:00,Es,$4744.25,$0.00,1,$248.75,1.05%,$311.25,97.65%,,$0.00,$0.00
,Buy to Cover,15/12/2022 15:00,EoDS,$4694.50,,$248.75,$3148.75,,($7.50),80.39%,78.04%,$0.00,$0.00
237,Sell Short,16/12/2022 11:15,Es,$4635.25,$0.00,1,($50.00),-0.22%,$30.00,31.17%,,$0.00,$0.00
,Buy to Cover,16/12/2022 13:30,Cover,$4645.25,,($50.00),$3098.75,,($66.25),16.88%,-51.95%,$0.00,$0.00
238,Sell Short,22/12/2022 09:45,Es,$4610.25,$0.00,1,($41.25),-0.18%,$240.00,83.84%,,$0.00,$0.00
,Buy to Cover,22/12/2022 14:45,Cover,$4618.50,,($41.25),$3057.50,,($46.25),1.75%,-14.41%,$0.00,$0.00
239,Sell Short,05/01/2023 09:00,Es,$4606.00,$0.00,1,($65.00),-0.28%,$42.50,27.42%,,$0.00,$0.00
,Buy to Cover,05/01/2023 09:30,Cover,$4619.00,,($65.00),$2992.50,,($112.50),30.65%,-41.94%,$0.00,$0.00
240,Sell Short,25/01/2023 09:15,Es,$4745.50,$0.00,1,($88.75),-0.37%,$41.25,28.21%,,$0.00,$0.00
,Buy to Cover,25/01/2023 10:45,Cover,$4763.25,,($88.75),$2903.75,,($105.00),11.11%,-60.68%,$0.00,$0.00
241,Sell Short,14/02/2023 11:00,Es,$4880.75,$0.00,1,($37.50),-0.15%,$15.00,23.08%,,$0.00,$0.00
,Buy to Cover,14/02/2023 11:15,Cover,$4888.25,,($37.50),$2866.25,,($50.00),19.23%,-57.69%,$0.00,$0.00
242,Sell Short,16/02/2023 09:00,Es,$4882.50,$0.00,1,($63.75),-0.26%,$42.50,37.36%,,$0.00,$0.00
,Buy to Cover,16/02/2023 09:45,Cover,$4895.25,,($63.75),$2802.50,,($71.25),6.59%,-56.04%,$0.00,$0.00
243,Sell Short,17/02/2023 09:15,Es,$4836.50,$0.00,1,($52.50),-0.22%,$5.00,6.67%,,$0.00,$0.00
,Buy to Cover,17/02/2023 09:30,Cover,$4847.00,,($52.50),$2750.00,,($70.00),23.33%,-70.00%,$0.00,$0.00
244,Sell Short,21/02/2023 09:00,Es,$4827.50,$0.00,1,$207.50,0.86%,$256.25,93.61%,,$0.00,$0.00
,Buy to Cover,21/02/2023 15:00,EoDS,$4786.00,,$207.50,$2957.50,,($17.50),82.19%,75.80%,$0.00,$0.00
245,Sell Short,24/02/2023 09:00,Es,$4733.00,$0.00,1,($30.00),-0.13%,$58.75,57.32%,,$0.00,$0.00
,Buy to Cover,24/02/2023 10:45,Cover,$4739.00,,($30.00),$2927.50,,($43.75),13.41%,-29.27%,$0.00,$0.00
246,Sell Short,07/03/2023 13:00,Es,$4766.75,$0.00,1,$0.00,0.00%,$51.25,65.08%,,$0.00,$0.00
,Buy to Cover,07/03/2023 15:00,EoDS,$4766.75,,$0.00,$2927.50,,($27.50),34.92%,0.00%,$0.00,$0.00
247,Sell Short,09/03/2023 13:15,Es,$4730.25,$0.00,1,$142.50,0.60%,$235.00,94.47%,,$0.00,$0.00
,Buy to Cover,09/03/2023 15:00,EoDS,$4701.75,,$142.50,$3070.00,,($13.75),62.81%,57.29%,$0.00,$0.00
248,Sell Short,10/03/2023 12:15,Es,$4655.50,$0.00,1,$148.75,0.64%,$176.25,84.94%,,$0.00,$0.00
,Buy to Cover,10/03/2023 15:00,EoDS,$4625.75,,$148.75,$3218.75,,($31.25),86.75%,71.69%,$0.00,$0.00
249,Sell Short,13/03/2023 09:00,Es,$4587.00,$0.00,1,($213.75),-0.93%,$13.75,5.24%,,$0.00,$0.00
,Buy to Cover,13/03/2023 09:15,Cover,$4629.75,,($213.75),$3005.00,,($248.75),13.33%,-81.43%,$0.00,$0.00
250,Sell Short,15/03/2023 09:15,Es,$4626.75,$0.00,1,($25.00),-0.11%,$26.25,21.65%,,$0.00,$0.00
,Buy to Cover,15/03/2023 09:30,Cover,$4631.75,,($25.00),$2980.00,,($95.00),57.73%,-20.62%,$0.00,$0.00
251,Sell Short,20/04/2023 09:15,Es,$4889.75,$0.00,1,($37.50),-0.15%,$15.00,27.27%,,$0.00,$0.00
,Buy to Cover,20/04/2023 09:30,Cover,$4897.25,,($37.50),$2942.50,,($40.00),4.55%,-68.18%,$0.00,$0.00
252,Sell Short,25/04/2023 09:15,Es,$4874.75,$0.00,1,$196.25,0.81%,$213.75,89.53%,,$0.00,$0.00
,Buy to Cover,25/04/2023 15:00,EoDS,$4835.50,,$196.25,$3138.75,,($25.00),92.67%,82.20%,$0.00,$0.00
253,Sell Short,26/04/2023 09:45,Es,$4824.00,$0.00,1,($25.00),-0.10%,$1.25,3.23%,,$0.00,$0.00
,Buy to Cover,26/04/2023 10:00,Cover,$4829.00,,($25.00),$3113.75,,($37.50),32.26%,-64.52%,$0.00,$0.00
254,Sell Short,02/05/2023 09:30,Es,$4888.00,$0.00,1,$53.75,0.22%,$216.25,93.51%,,$0.00,$0.00
,Buy to Cover,02/05/2023 15:00,EoDS,$4877.25,,$53.75,$3167.50,,($15.00),29.73%,23.24%,$0.00,$0.00
255,Sell Short,04/05/2023 09:00,Es,$4816.25,$0.00,1,($50.00),-0.21%,$70.00,50.91%,,$0.00,$0.00
,Buy to Cover,04/05/2023 10:30,Cover,$4826.25,,($50.00),$3117.50,,($67.50),12.73%,-36.36%,$0.00,$0.00
256,Sell Short,23/05/2023 13:30,Es,$4909.75,$0.00,1,$25.00,0.10%,$87.50,88.61%,,$0.00,$0.00
,Buy to Cover,23/05/2023 15:00,EoDS,$4904.75,,$25.00,$3142.50,,($11.25),36.71%,25.32%,$0.00,$0.00
257,Sell Short,24/05/2023 09:15,Es,$4866.50,$0.00,1,($41.25),-0.17%,$66.25,53.00%,,$0.00,$0.00
,Buy to Cover,24/05/2023 14:45,Cover,$4874.75,,($41.25),$3101.25,,($58.75),14.00%,-33.00%,$0.00,$0.00
258,Sell Short,31/05/2023 09:45,Es,$4919.75,$0.00,1,($2.50),-0.01%,$37.50,68.18%,,$0.00,$0.00
,Buy to Cover,31/05/2023 11:30,Cover,$4920.25,,($2.50),$3098.75,,($17.50),27.27%,-4.55%,$0.00,$0.00
259,Sell Short,06/07/2023 09:00,Es,$5130.75,$0.00,1,($65.00),-0.25%,$81.25,55.08%,,$0.00,$0.00
,Buy to Cover,06/07/2023 14:00,Cover,$5143.75,,($65.00),$3033.75,,($66.25),0.85%,-44.07%,$0.00,$0.00
260,Sell Short,02/08/2023 09:00,Es,$5261.25,$0.00,1,$150.00,0.57%,$191.25,96.23%,,$0.00,$0.00
,Buy to Cover,02/08/2023 15:00,EoDS,$5231.25,,$150.00,$3183.75,,($7.50),79.25%,75.47%,$0.00,$0.00
261,Sell Short,03/08/2023 09:00,Es,$5207.25,$0.00,1,($28.75),-0.11%,$27.50,28.57%,,$0.00,$0.00
,Buy to Cover,03/08/2023 09:30,Cover,$5213.00,,($28.75),$3155.00,,($68.75),41.56%,-29.87%,$0.00,$0.00
262,Sell Short,04/08/2023 14:00,Es,$5202.50,$0.00,1,$60.00,0.23%,$65.00,74.29%,,$0.00,$0.00
,Buy to Cover,04/08/2023 15:00,EoDS,$5190.50,,$60.00,$3215.00,,($22.50),94.29%,68.57%,$0.00,$0.00
263,Sell Short,08/08/2023 09:00,Es,$5195.50,$0.00,1,($63.75),-0.25%,$91.25,54.48%,,$0.00,$0.00
,Buy to Cover,08/08/2023 14:15,Cover,$5208.25,,($63.75),$3151.25,,($76.25),7.46%,-38.06%,$0.00,$0.00
264,Sell Short,15/09/2023 09:00,Es,$5176.75,$0.00,1,$172.50,0.67%,$180.00,90.00%,,$0.00,$0.00
,Buy to Cover,15/09/2023 15:00,EoDS,$5142.25,,$172.50,$3323.75,,($20.00),96.25%,86.25%,$0.00,$0.00
265,Sell Short,19/09/2023 10:00,Es,$5118.00,$0.00,1,($35.00),-0.14%,$50.00,57.14%,,$0.00,$0.00
,Buy to Cover,19/09/2023 13:00,Cover,$5125.00,,($35.00),$3288.75,,($37.50),2.86%,-40.00%,$0.00,$0.00
266,Sell Short,21/09/2023 09:00,Es,$5051.75,$0.00,1,$127.50,0.50%,$150.00,77.42%,,$0.00,$0.00
,Buy to Cover,21/09/2023 15:00,EoDS,$5026.25,,$127.50,$3416.25,,($43.75),88.39%,65.81%,$0.00,$0.00
267,Sell Short,26/09/2023 13:00,Es,$4962.25,$0.00,1,($31.25),-0.13%,$6.25,15.15%,,$0.00,$0.00
,Buy to Cover,26/09/2023 13:15,Cover,$4968.50,,($31.25),$3385.00,,($35.00),9.09%,-75.76%,$0.00,$0.00
268,Sell Short,12/10/2023 13:00,Es,$5016.50,$0.00,1,($37.50),-0.15%,$76.25,64.89%,,$0.00,$0.00
,Buy to Cover,12/10/2023 14:30,Cover,$5024.00,,($37.50),$3347.50,,($41.25),3.19%,-31.91%,$0.00,$0.00
269,Sell Short,25/10/2023 12:45,Es,$4858.75,$0.00,1,$17.50,0.07%,$46.25,62.71%,,$0.00,$0.00
,Buy to Cover,25/10/2023 15:00,EoDS,$4855.25,,$17.50,$3365.00,,($27.50),61.02%,23.73%,$0.00,$0.00
270,Sell Short,04/12/2023 09:00,Es,$5220.50,$0.00,1,($1.25),0.00%,$106.25,85.00%,,$0.00,$0.00
,Buy to Cover,04/12/2023 15:00,EoDS,$5220.75,,($1.25),$3363.75,,($18.75),14.00%,-1.00%,$0.00,$0.00
271,Sell Short,03/01/2024 09:30,Es,$5346.75,$0.00,1,($11.25),-0.04%,$36.25,63.04%,,$0.00,$0.00
,Buy to Cover,03/01/2024 10:30,Cover,$5349.00,,($11.25),$3352.50,,($21.25),17.39%,-19.57%,$0.00,$0.00
272,Sell Short,11/01/2024 09:30,Es,$5381.25,$0.00,1,($61.25),-0.23%,$6.25,8.77%,,$0.00,$0.00
,Buy to Cover,11/01/2024 09:45,Cover,$5393.50,,($61.25),$3291.25,,($65.00),5.26%,-85.96%,$0.00,$0.00
273,Sell Short,17/01/2024 09:00,Es,$5353.50,$0.00,1,($42.50),-0.16%,$12.50,22.22%,,$0.00,$0.00
,Buy to Cover,17/01/2024 09:30,Cover,$5362.00,,($42.50),$3248.75,,($43.75),2.22%,-75.56%,$0.00,$0.00
274,Sell Short,13/02/2024 09:00,Es,$5565.50,$0.00,1,($63.75),-0.23%,$53.75,42.57%,,$0.00,$0.00
,Buy to Cover,13/02/2024 10:45,Cover,$5578.25,,($63.75),$3185.00,,($72.50),6.93%,-50.50%,$0.00,$0.00
275,Sell Short,05/03/2024 13:00,Es,$5676.75,$0.00,1,($3.75),-0.01%,$16.25,46.43%,,$0.00,$0.00
,Buy to Cover,05/03/2024 13:30,Cover,$5677.50,,($3.75),$3181.25,,($18.75),42.86%,-10.71%,$0.00,$0.00
276,Sell Short,14/03/2024 12:45,Es,$5730.75,$0.00,1,($27.50),-0.10%,$22.50,40.91%,,$0.00,$0.00
,Buy to Cover,14/03/2024 13:00,Cover,$5736.25,,($27.50),$3153.75,,($32.50),9.09%,-50.00%,$0.00,$0.00
277,Sell Short,15/03/2024 09:00,Es,$5712.25,$0.00,1,($15.00),-0.05%,$50.00,63.49%,,$0.00,$0.00
,Buy to Cover,15/03/2024 09:30,Cover,$5715.25,,($15.00),$3138.75,,($28.75),17.46%,-19.05%,$0.00,$0.00
278,Sell Short,02/04/2024 09:00,Es,$5774.75,$0.00,1,($51.25),-0.18%,$51.25,46.07%,,$0.00,$0.00
,Buy to Cover,02/04/2024 14:45,Cover,$5785.00,,($51.25),$3087.50,,($60.00),7.87%,-46.07%,$0.00,$0.00
279,Sell Short,04/04/2024 14:00,Es,$5759.25,$0.00,1,$146.25,0.51%,$176.25,77.05%,,$0.00,$0.00
,Buy to Cover,04/04/2024 15:00,EoDS,$5730.00,,$146.25,$3233.75,,($52.50),86.89%,63.93%,$0.00,$0.00
280,Sell Short,09/04/2024 10:00,Es,$5743.50,$0.00,1,($93.75),-0.33%,$26.25,20.19%,,$0.00,$0.00
,Buy to Cover,09/04/2024 11:00,Cover,$5762.25,,($93.75),$3140.00,,($103.75),7.69%,-72.12%,$0.00,$0.00
281,Sell Short,10/04/2024 09:00,Es,$5734.75,$0.00,1,($21.25),-0.07%,$102.50,49.10%,,$0.00,$0.00
,Buy to Cover,10/04/2024 15:00,EoDS,$5739.00,,($21.25),$3118.75,,($106.25),40.72%,-10.18%,$0.00,$0.00
282,Sell Short,12/04/2024 09:30,Es,$5731.50,$0.00,1,$187.50,0.65%,$260.00,93.27%,,$0.00,$0.00
,Buy to Cover,12/04/2024 15:00,EoDS,$5694.00,,$187.50,$3306.25,,($18.75),73.99%,67.26%,$0.00,$0.00
283,Sell Short,15/04/2024 12:45,Es,$5654.00,$0.00,1,$110.00,0.39%,$152.50,92.42%,,$0.00,$0.00
,Buy to Cover,15/04/2024 15:00,EoDS,$5632.00,,$110.00,$3416.25,,($12.50),74.24%,66.67%,$0.00,$0.00
284,Sell Short,29/05/2024 09:00,Es,$5809.50,$0.00,1,($35.00),-0.12%,$7.50,13.95%,,$0.00,$0.00
,Buy to Cover,29/05/2024 09:15,Cover,$5816.50,,($35.00),$3381.25,,($46.25),20.93%,-65.12%,$0.00,$0.00
