

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
33,Sell Short,21/03/2017 09:45,Es,$3132.50,$0.00,1,$115.00,0.73%,$116.25,93.94%,,$0.00,$0.00
,Buy to Cover,21/03/2017 15:00,EoDS,$3109.50,,$115.00,$158.75,,($7.50),98.99%,92.93%,$0.00,$0.00
34,Sell Short,27/03/2017 09:00,Es,$3090.00,$0.00,1,($63.75),-0.41%,$5.00,7.27%,,$0.00,$0.00
,Buy to Cover,27/03/2017 10:45,Cover,$3102.75,,($63.75),$95.00,,($63.75),0.00%,-92.73%,$0.00,$0.00
35,Sell Short,03/04/2017 11:30,Es,$3112.25,$0.00,1,($26.25),-0.17%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,03/04/2017 11:45,Cover,$3117.50,,($26.25),$68.75,,($27.50),4.55%,-95.45%,$0.00,$0.00
36,Sell Short,11/04/2017 09:30,Es,$3113.00,$0.00,1,($6.25),-0.04%,$51.25,85.42%,,$0.00,$0.00
,Buy to Cover,11/04/2017 11:45,Cover,$3114.25,,($6.25),$62.50,,($8.75),4.17%,-10.42%,$0.00,$0.00
37,Sell Short,12/04/2017 11:00,Es,$3109.50,$0.00,1,($22.50),-0.14%,$12.50,34.48%,,$0.00,$0.00
,Buy to Cover,12/04/2017 13:00,Cover,$3114.00,,($22.50),$40.00,,($23.75),3.45%,-62.07%,$0.00,$0.00
38,Sell Short,18/04/2017 11:00,Es,$3103.75,$0.00,1,($6.25),-0.04%,$20.00,72.73%,,$0.00,$0.00
,Buy to Cover,18/04/2017 12:30,Cover,$3105.00,,($6.25),$33.75,,($7.50),4.55%,-22.73%,$0.00,$0.00
39,Sell Short,21/04/2017 12:30,Es,$3111.50,$0.00,1,($6.25),-0.04%,$5.00,33.33%,,$0.00,$0.00
,Buy to Cover,21/04/2017 12:45,Cover,$3112.75,,($6.25),$27.50,,($10.00),25.00%,-41.67%,$0.00,$0.00
40,Sell Short,11/05/2017 09:00,Es,$3157.75,$0.00,1,($1.25),-0.01%,$46.25,94.87%,,$0.00,$0.00
,Buy to Cover,11/05/2017 12:00,Cover,$3158.00,,($1.25),$26.25,,($2.50),2.56%,-2.56%,$0.00,$0.00
41,Sell Short,12/05/2017 09:45,Es,$3154.75,$0.00,1,($3.75),-0.02%,$1.25,14.29%,,$0.00,$0.00
,Buy to Cover,12/05/2017 10:00,Cover,$3155.50,,($3.75),$22.50,,($7.50),42.86%,-42.86%,$0.00,$0.00
42,Sell Short,17/05/2017 09:00,Es,$3150.50,$0.00,1,$108.75,0.69%,$116.25,97.89%,,$0.00,$0.00
,Buy to Cover,17/05/2017 15:00,EoDS,$3128.75,,$108.75,$131.25,,($2.50),93.68%,91.58%,$0.00,$0.00
43,Sell Short,15/06/2017 09:00,Es,$3191.00,$0.00,1,($41.25),-0.26%,$15.00,26.09%,,$0.00,$0.00
,Buy to Cover,15/06/2017 10:45,Cover,$3199.25,,($41.25),$90.00,,($42.50),2.17%,-71.74%,$0.00,$0.00
44,Sell Short,16/06/2017 10:15,Es,$3194.00,$0.00,1,($5.00),-0.03%,$6.25,55.56%,,$0.00,$0.00
,Buy to Cover,16/06/2017 10:30,Cover,$3195.00,,($5.00),$85.00,,($5.00),0.00%,-44.44%,$0.00,$0.00
45,Sell Short,20/06/2017 11:45,Es,$3210.00,$0.00,1,($16.25),-0.10%,$1.25,6.67%,,$0.00,$0.00
,Buy to Cover,20/06/2017 12:15,Cover,$3213.25,,($16.25),$68.75,,($17.50),6.67%,-86.67%,$0.00,$0.00
46,Sell Short,21/06/2017 12:15,Es,$3202.50,$0.00,1,($5.00),-0.03%,$3.75,30.00%,,$0.00,$0.00
,Buy to Cover,21/06/2017 12:45,Cover,$3203.50,,($5.00),$63.75,,($8.75),30.00%,-40.00%,$0.00,$0.00
47,Sell Short,27/06/2017 13:00,Es,$3195.00,$0.00,1,$7.50,0.05%,$15.00,41.38%,,$0.00,$0.00
,Buy to Cover,27/06/2017 15:00,EoDS,$3193.50,,$7.50,$71.25,,($21.25),79.31%,20.69%,$0.00,$0.00
48,Sell Short,29/06/2017 09:30,Es,$3200.00,$0.00,1,($18.75),-0.12%,$11.25,37.50%,,$0.00,$0.00
,Buy to Cover,29/06/2017 10:00,Cover,$3203.75,,($18.75),$52.50,,($18.75),0.00%,-62.50%,$0.00,$0.00
49,Sell Short,06/07/2017 09:00,Es,$3189.50,$0.00,1,($12.50),-0.08%,$37.50,66.67%,,$0.00,$0.00
,Buy to Cover,06/07/2017 12:45,Cover,$3192.00,,($12.50),$40.00,,($18.75),11.11%,-22.22%,$0.00,$0.00
50,Sell Short,11/07/2017 10:45,Es,$3186.00,$0.00,1,($18.75),-0.12%,$3.75,15.00%,,$0.00,$0.00
,Buy to Cover,11/07/2017 11:00,Cover,$3189.75,,($18.75),$21.25,,($21.25),10.00%,-75.00%,$0.00,$0.00
51,Sell Short,09/08/2017 09:00,Es,$3233.75,$0.00,1,($38.75),-0.24%,$7.50,15.79%,,$0.00,$0.00
,Buy to Cover,09/08/2017 11:15,Cover,$3241.50,,($38.75),($17.50),,($40.00),2.63%,-81.58%,$0.00,$0.00
52,Sell Short,10/08/2017 09:00,Es,$3229.75,$0.00,1,$95.00,0.59%,$101.25,92.05%,,$0.00,$0.00
,Buy to Cover,10/08/2017 15:00,EoDS,$3210.75,,$95.00,$77.50,,($8.75),94.32%,86.36%,$0.00,$0.00
53,Sell Short,17/08/2017 09:30,Es,$3226.00,$0.00,1,$110.00,0.68%,$115.00,85.98%,,$0.00,$0.00
,Buy to Cover,17/08/2017 15:00,EoDS,$3204.00,,$110.00,$187.50,,($18.75),96.26%,82.24%,$0.00,$0.00
54,Sell Short,05/09/2017 11:30,Es,$3226.00,$0.00,1,($3.75),-0.02%,$43.75,67.31%,,$0.00,$0.00
,Buy to Cover,05/09/2017 15:00,EoDS,$3226.75,,($3.75),$183.75,,($21.25),26.92%,-5.77%,$0.00,$0.00
55,Sell Short,19/10/2017 09:00,Es,$3323.25,$0.00,1,($5.00),-0.03%,$22.50,81.82%,,$0.00,$0.00
,Buy to Cover,19/10/2017 09:45,Cover,$3324.25,,($5.00),$178.75,,($5.00),0.00%,-18.18%,$0.00,$0.00
56,Sell Short,25/10/2017 09:45,Es,$3331.50,$0.00,1,$21.25,0.13%,$82.50,98.51%,,$0.00,$0.00
,Buy to Cover,25/10/2017 15:00,EoDS,$3327.25,,$21.25,$200.00,,($1.25),26.87%,25.37%,$0.00,$0.00
57,Sell Short,30/10/2017 11:00,Es,$3342.75,$0.00,1,($5.00),-0.03%,$3.75,42.86%,,$0.00,$0.00
,Buy to Cover,30/10/2017 11:15,Cover,$3343.75,,($5.00),$195.00,,($5.00),0.00%,-57.14%,$0.00,$0.00
58,Sell Short,02/11/2017 09:30,Es,$3337.25,$0.00,1,($16.25),-0.10%,$2.50,12.50%,,$0.00,$0.00
,Buy to Cover,02/11/2017 09:45,Cover,$3340.50,,($16.25),$178.75,,($17.50),6.25%,-81.25%,$0.00,$0.00
59,Sell Short,09/11/2017 09:00,Es,$3349.25,$0.00,1,($25.00),-0.15%,$7.50,17.14%,,$0.00,$0.00
,Buy to Cover,09/11/2017 09:45,Cover,$3354.25,,($25.00),$153.75,,($36.25),25.71%,-57.14%,$0.00,$0.00
