

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,26/02/2026 15:00,EoDS,$25570.00,,$3.00,$3874.00,,($63.50),14.03%,0.63%,$0.00,$0.00
348,Sell Short,27/02/2026 09:00,Es,$25348.25,$0.00,1,($73.00),-0.14%,$52.50,21.69%,,$0.00,$0.00
,Buy to Cover,27/02/2026 09:15,Cover,$25384.75,,($73.00),$3801.00,,($189.50),48.14%,-30.17%,$0.00,$0.00
349,Sell Short,03/03/2026 09:00,Es,$25036.75,$0.00,1,($505.50),-1.01%,$363.50,41.83%,,$0.00,$0.00
,Buy to Cover,03/03/2026 12:45,Stop Loss,$25289.50,,($505.50),$3295.50,,($505.50),0.00%,-58.17%,$0.00,$0.00
350,Sell Short,05/03/2026 11:45,Es,$25431.75,$0.00,1,($81.50),-0.16%,$307.00,68.07%,,$0.00,$0.00
,Buy to Cover,05/03/2026 15:00,Cover,$25472.50,,($81.50),$3214.00,,($144.00),13.86%,-18.07%,$0.00,$0.00
351,Sell Short,06/03/2026 09:00,Es,$25185.25,$0.00,1,($355.50),-0.71%,$98.50,18.87%,,$0.00,$0.00
,Buy to Cover,06/03/2026 10:15,Cover,$25363.00,,($355.50),$2858.50,,($423.50),13.03%,-68.10%,$0.00,$0.00
352,Sell Short,09/03/2026 09:00,Es,$24887.00,$0.00,1,($305.50),-0.61%,$139.00,30.96%,,$0.00,$0.00
,Buy to Cover,09/03/2026 10:00,Cover,$25039.75,,($305.50),$2553.00,,($310.00),1.00%,-68.04%,$0.00,$0.00
353,Sell Short,12/03/2026 09:15,Es,$25161.75,$0.00,1,$148.50,0.30%,$193.00,51.06%,,$0.00,$0.00
,Buy to Cover,12/03/2026 15:00,EoDS,$25087.50,,$148.50,$2701.50,,($185.00),88.23%,39.29%,$0.00,$0.00
354,Sell Short,18/03/2026 12:30,Es,$25097.00,$0.00,1,($54.50),-0.11%,$12.50,16.56%,,$0.00,$0.00
,Buy to Cover,18/03/2026 12:45,Cover,$25124.25,,($54.50),$2647.00,,($63.00),11.26%,-72.19%,$0.00,$0.00
355,Sell Short,19/03/2026 12:30,Es,$24681.00,$0.00,1,($122.00),-0.25%,$20.00,11.73%,,$0.00,$0.00
,Buy to Cover,19/03/2026 12:45,Cover,$24742.00,,($122.00),$2525.00,,($150.50),16.72%,-71.55%,$0.00,$0.00
356,Sell Short,20/03/2026 09:15,Es,$24578.25,$0.00,1,$468.50,0.95%,$629.50,81.07%,,$0.00,$0.00
,Buy to Cover,20/03/2026 15:00,EoDS,$24344.00,,$468.50,$2993.50,,($147.00),79.27%,60.33%,$0.00,$0.00
357,Sell Short,26/03/2026 11:45,Es,$24301.00,$0.00,1,$391.00,0.80%,$401.00,95.14%,,$0.00,$0.00
,Buy to Cover,26/03/2026 15:00,EoDS,$24105.50,,$391.00,$3384.50,,($20.50),97.63%,92.76%,$0.00,$0.00
358,Sell Short,27/03/2026 09:15,Es,$23776.25,$0.00,1,($79.50),-0.17%,$79.00,40.51%,,$0.00,$0.00
,Buy to Cover,27/03/2026 09:30,Cover,$23816.00,,($79.50),$3305.00,,($116.00),18.72%,-40.77%,$0.00,$0.00
359,Sell Short,05/06/2026 09:15,Es,$30066.50,$0.00,1,$1066.00,1.77%,$1066.00,76.01%,,$0.00,$0.00
,Buy to Cover,05/06/2026 13:30,Profit Target,$29533.50,,$1066.00,$4371.00,,($336.50),100.00%,76.01%,$0.00,$0.00
360,Sell Short,09/06/2026 10:45,Es,$29154.00,$0.00,1,$1037.50,1.78%,$1037.50,82.44%,,$0.00,$0.00
,Buy to Cover,09/06/2026 11:45,Profit Target,$28635.25,,$1037.50,$5408.50,,($221.00),100.00%,82.44%,$0.00,$0.00
361,Sell Short,23/06/2026 09:00,Es,$29754.25,$0.00,1,$116.00,0.19%,$354.00,37.70%,,$0.00,$0.00
,Buy to Cover,23/06/2026 15:00,EoDS,$29696.25,,$116.00,$5524.50,,($585.00),74.65%,12.35%,$0.00,$0.00
362,Sell Short,02/07/2026 11:45,Es,$29558.25,$0.00,1,$207.00,0.35%,$459.50,97.77%,,$0.00,$0.00
,Buy to Cover,02/07/2026 15:00,EoDS,$29454.75,,$207.00,$5731.50,,($10.50),46.28%,44.04%,$0.00,$0.00
363,Sell Short,07/07/2026 09:15,Es,$29469.00,$0.00,1,($184.50),-0.31%,$518.50,69.83%,,$0.00,$0.00
,Buy to Cover,07/07/2026 13:00,Cover,$29561.25,,($184.50),$5547.00,,($224.00),5.32%,-24.85%,$0.00,$0.00

Annual

,,,,,,
TradeStation Periodical Returns:Annual,,,,,,
,,,,,,
Mark-To-Market Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
Last 12 Months,$1082.00,1.04%,1.22,48,37.50%,
01/01/2026,$1285.50,1.23%,1.45,27,44.44%,
01/01/2025,($695.00),-0.66%,0.87,44,31.82%,
01/01/2024,$1273.50,1.23%,1.46,37,37.84%,
01/01/2023,$366.00,0.35%,1.39,27,25.93%,
01/01/2022,$1792.00,1.77%,1.73,39,35.90%,
01/01/2021,($588.50),-0.58%,0.82,43,27.91%,
01/01/2020,$751.00,0.74%,1.37,27,44.44%,
01/01/2019,$316.00,0.31%,1.37,33,36.36%,
01/01/2018,$632.00,0.63%,1.50,38,34.21%,
01/01/2017,$235.00,0.23%,1.38,29,24.14%,
01/01/2016,$179.50,0.18%,1.70,19,42.11%,
,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
01/01/2026 - Today,$1285.50,1.23%,1.45,27,44.44%,
01/01/2025 - 01/01/2026,$590.50,0.56%,1.07,71,36.62%,
01/01/2024 - 01/01/2026,$1864.00,1.80%,1.17,108,37.04%,
01/01/2023 - 01/01/2026,$2230.00,2.16%,1.19,135,34.81%,
01/01/2022 - 01/01/2026,$4022.00,3.96%,1.28,174,35.06%,
01/01/2021 - 01/01/2026,$3433.50,3.36%,1.19,217,33.64%,
01/01/2020 - 01/01/2026,$4184.50,4.13%,1.21,244,34.84%,
01/01/2019 - 01/01/2026,$4500.50,4.45%,1.22,277,35.02%,
01/01/2018 - 01/01/2026,$5132.50,5.11%,1.24,315,34.92%,
01/01/2017 - 01/01/2026,$5367.50,5.36%,1.24,344,34.01%,
01/01/2016 - 01/01/2026,$5547.00,5.55%,1.24,363,34.44%,


Daily

,,,,,,
TradeStation Periodical Returns:Daily,,,,,,
,,,,,,
Mark-To-Market Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
07/07/2026,($184.50),-0.17%,0.00,1,0.00%,
02/07/2026,$207.00,0.20%,n/a,1,100.00%,
23/06/2026,$116.00,0.11%,n/a,1,100.00%,
09/06/2026,$1037.50,0.99%,n/a,1,100.00%,
05/06/2026,$1066.00,1.03%,n/a,1,100.00%,
27/03/2026,($79.50),-0.08%,0.00,1,0.00%,
26/03/2026,$391.00,0.38%,n/a,1,100.00%,
20/03/2026,$468.50,0.46%,n/a,1,100.00%,
19/03/2026,($122.00),-0.12%,0.00,1,0.00%,
18/03/2026,($54.50),-0.05%,0.00,1,0.00%,
12/03/2026,$148.50,0.14%,n/a,1,100.00%,
09/03/2026,($305.50),-0.30%,0.00,1,0.00%,
06/03/2026,($355.50),-0.34%,0.00,1,0.00%,
05/03/2026,($81.50),-0.08%,0.00,1,0.00%,
03/03/2026,($505.50),-0.49%,0.00,1,0.00%,
27/02/2026,($73.00),-0.07%,0.00,1,0.00%,
26/02/2026,$3.00,0.00%,n/a,1,100.00%,
23/02/2026,$196.50,0.19%,n/a,1,100.00%,
12/02/2026,($113.00),-0.11%,0.00,1,0.00%,
05/02/2026,($441.00),-0.42%,0.00,1,0.00%,
04/02/2026,$174.50,0.17%,n/a,1,100.00%,
03/02/2026,($126.50),-0.12%,0.00,1,0.00%,
30/01/2026,($158.50),-0.15%,0.00,1,0.00%,
29/01/2026,($114.50),-0.11%,0.00,1,0.00%,
20/01/2026,$554.50,0.53%,n/a,1,100.00%,
19/01/2026,($303.50),-0.29%,0.00,1,0.00%,
14/01/2026,$90.00,0.09%,n/a,1,100.00%,
08/01/2026,($149.00),-0.14%,0.00,1,0.00%,
17/12/2025,$180.50,0.17%,n/a,1,100.00%,
12/12/2025,$511.50,0.49%,n/a,1,100.00%,
20/11/2025,($138.00),-0.13%,0.00,1,0.00%,
18/11/2025,($46.50),-0.04%,0.00,1,0.00%,
13/11/2025,($179.00),-0.17%,0.00,1,0.00%,
07/11/2025,($98.50),-0.09%,0.00,1,0.00%,
06/11/2025,($72.00),-0.07%,0.00,1,0.00%,
04/11/2025,($49.00),-0.05%,0.00,1,0.00%,
22/10/2025,($67.50),-0.06%,0.00,1,0.00%,
16/10/2025,($114.00),-0.11%,0.00,1,0.00%,
14/10/2025,($508.00),-0.48%,0.00,1,0.00%,
10/10/2025,$915.50,0.88%,n/a,1,100.00%,
,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
07/07/2026 - 07/07/2026,($184.50),-0.17%,0.00,1,0.00%,
06/07/2026 - 07/07/2026,($184.50),-0.17%,0.00,1,0.00%,
05/07/2026 - 07/07/2026,($184.50),-0.17%,0.00,1,0.00%,
04/07/2026 - 07/07/2026,($184.50),-0.17%,0.00,1,0.00%,
03/07/2026 - 07/07/2026,($184.50),-0.17%,0.00,1,0.00%,
02/07/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
01/07/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
30/06/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
29/06/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
28/06/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
27/06/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
26/06/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
25/06/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
24/06/2026 - 07/07/2026,$22.50,0.02%,1.12,2,50.00%,
23/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
22/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
21/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
20/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
19/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
18/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
17/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
16/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
15/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
14/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
13/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
12/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
11/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
10/06/2026 - 07/07/2026,$138.50,0.13%,1.75,3,66.67%,
09/06/2026 - 07/07/2026,$1176.00,1.13%,7.37,4,75.00%,
08/06/2026 - 07/07/2026,$1176.00,1.13%,7.37,4,75.00%,
07/06/2026 - 07/07/2026,$1176.00,1.13%,7.37,4,75.00%,
06/06/2026 - 07/07/2026,$1176.00,1.13%,7.37,4,75.00%,
05/06/2026 - 07/07/2026,$2242.00,2.17%,13.15,5,80.00%,
04/06/2026 - 07/07/2026,$2242.00,2.17%,13.15,5,80.00%,
03/06/2026 - 07/07/2026,$2242.00,2.17%,13.15,5,80.00%,
02/06/2026 - 07/07/2026,$2242.00,2.17%,13.15,5,80.00%,
01/06/2026 - 07/07/2026,$2242.00,2.17%,13.15,5,80.00%,
31/05/2026 - 07/07/2026,$2242.00,2.17%,13.15,5,80.00%,
30/05/2026 - 07/07/2026,$2242.00,2.17%,13.15,5,80.00%,
29/05/2026 - 07/07/2026,$2242.00,2.17%,13.15,5,80.00%,


Monthly

,,,,,,
TradeStation Periodical Returns:Monthly,,,,,,
,,,,,,
Mark-To-Market Monthly Average Analysis:,,,,,,
Period,Avg. Net Profit,% Gain,% Profitable,,,
January,($119.22),-0.12%,25.81%,,,
February,$57.25,0.06%,46.67%,,,
March,($95.65),-0.09%,26.19%,,,
April,($42.79),-0.04%,23.33%,,,
May,$68.78,0.07%,31.82%,,,
June,$274.44,0.27%,33.33%,,,
July,$58.60,0.06%,44.44%,,,
August,$62.28,0.06%,43.75%,,,
September,$338.05,0.33%,46.88%,,,
October,$62.90,0.06%,29.27%,,,
November,($122.94),-0.12%,25.00%,,,
December,$43.10,0.04%,39.29%,,,
,,,,,,
Mark-To-Market Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
01/07/2026,$22.50,0.02%,1.12,2,50.00%,
01/06/2026,$2219.50,2.15%,n/a,3,100.00%,
01/03/2026,($496.00),-0.48%,0.67,10,30.00%,
01/02/2026,($379.50),-0.36%,0.50,7,42.86%,
01/01/2026,($81.00),-0.08%,0.81,5,40.00%,
01/12/2025,$692.00,0.67%,n/a,2,100.00%,
01/11/2025,($583.00),-0.56%,0.00,6,0.00%,
01/10/2025,$226.00,0.22%,1.33,4,25.00%,
01/09/2025,($271.00),-0.26%,0.00,2,0.00%,
01/08/2025,($208.00),-0.20%,0.42,5,40.00%,
01/07/2025,($59.50),-0.06%,0.60,2,50.00%,
01/06/2025,($874.50),-0.83%,0.00,4,0.00%,
01/05/2025,($119.50),-0.11%,0.00,1,0.00%,
01/04/2025,($37.50),-0.04%,0.97,5,40.00%,
01/03/2025,$673.50,0.64%,3.24,4,75.00%,
01/02/2025,$220.00,0.21%,1.49,5,40.00%,
01/01/2025,($353.50),-0.34%,0.19,4,25.00%,
01/12/2024,($115.50),-0.11%,0.54,2,50.00%,
01/11/2024,$2.00,0.00%,1.03,2,50.00%,
01/10/2024,$420.00,0.40%,2.30,6,50.00%,
01/09/2024,$1081.50,1.04%,n/a,2,100.00%,
01/08/2024,($751.00),-0.72%,0.00,3,0.00%,
01/07/2024,$898.50,0.87%,5.91,4,75.00%,
01/05/2024,($78.50),-0.08%,0.00,1,0.00%,
01/04/2024,($6.00),-0.01%,0.99,7,28.57%,
01/03/2024,$69.50,0.07%,1.39,4,25.00%,
01/02/2024,($396.50),-0.38%,0.00,3,0.00%,
01/01/2024,$149.50,0.14%,2.46,3,33.33%,
01/12/2023,($52.50),-0.05%,0.00,1,0.00%,
01/10/2023,($364.50),-0.35%,0.00,5,0.00%,
01/09/2023,$434.50,0.42%,13.41,3,66.67%,
01/08/2023,$198.00,0.19%,3.28,4,25.00%,
01/07/2023,($45.00),-0.04%,0.40,2,50.00%,
01/05/2023,($33.50),-0.03%,0.00,1,0.00%,
01/04/2023,$209.00,0.20%,2.27,7,28.57%,
01/03/2023,($64.00),-0.06%,0.00,1,0.00%,
01/02/2023,$115.50,0.11%,3.72,2,50.00%,
01/01/2023,($31.50),-0.03%,0.00,1,0.00%,
01/12/2022,$521.00,0.51%,4.75,5,60.00%,
01/11/2022,($149.00),-0.14%,0.00,1,0.00%,
,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
01/07/2026 - Today,$22.50,0.02%,1.12,2,50.00%,
01/06/2026 - 01/07/2026,$2242.00,2.17%,13.15,5,80.00%,
01/05/2026 - 01/07/2026,$2242.00,2.17%,13.15,5,80.00%,
01/04/2026 - 01/07/2026,$2242.00,2.17%,13.15,5,80.00%,
01/03/2026 - 01/07/2026,$1746.00,1.68%,2.03,15,46.67%,
01/02/2026 - 01/07/2026,$1366.50,1.31%,1.56,22,45.45%,
01/01/2026 - 01/07/2026,$1285.50,1.23%,1.45,27,44.44%,
01/12/2025 - 01/07/2026,$1977.50,1.91%,1.69,29,48.28%,
01/11/2025 - 01/07/2026,$1394.50,1.34%,1.40,35,40.00%,
01/10/2025 - 01/07/2026,$1620.50,1.56%,1.39,39,38.46%,
01/09/2025 - 01/07/2026,$1349.50,1.30%,1.31,41,36.59%,
01/08/2025 - 01/07/2026,$1141.50,1.09%,1.24,46,36.96%,
01/07/2025 - 01/07/2026,$1082.00,1.04%,1.22,48,37.50%,
01/06/2025 - 01/07/2026,$207.50,0.20%,1.04,52,34.62%,
01/05/2025 - 01/07/2026,$88.00,0.08%,1.01,53,33.96%,
01/04/2025 - 01/07/2026,$50.50,0.05%,1.01,58,34.48%,
01/03/2025 - 01/07/2026,$724.00,0.69%,1.10,62,37.10%,
01/02/2025 - 01/07/2026,$944.00,0.90%,1.12,67,37.31%,
01/01/2025 - 01/07/2026,$590.50,0.56%,1.07,71,36.62%,
01/12/2024 - 01/07/2026,$475.00,0.45%,1.06,73,36.99%,
01/11/2024 - 01/07/2026,$477.00,0.45%,1.06,75,37.33%,
01/10/2024 - 01/07/2026,$897.00,0.86%,1.10,81,38.27%,
01/09/2024 - 01/07/2026,$1978.50,1.91%,1.22,83,39.76%,
01/08/2024 - 01/07/2026,$1227.50,1.18%,1.13,86,38.37%,
01/07/2024 - 01/07/2026,$2126.00,2.06%,1.22,90,40.00%,
01/06/2024 - 01/07/2026,$2126.00,2.06%,1.22,90,40.00%,
01/05/2024 - 01/07/2026,$2047.50,1.98%,1.21,91,39.56%,
01/04/2024 - 01/07/2026,$2041.50,1.97%,1.20,98,38.78%,
01/03/2024 - 01/07/2026,$2111.00,2.04%,1.20,102,38.24%,
01/02/2024 - 01/07/2026,$1714.50,1.65%,1.16,105,37.14%,
01/01/2024 - 01/07/2026,$1864.00,1.80%,1.17,108,37.04%,
01/12/2023 - 01/07/2026,$1811.50,1.75%,1.16,109,36.70%,
01/11/2023 - 01/07/2026,$1811.50,1.75%,1.16,109,36.70%,
01/10/2023 - 01/07/2026,$1447.00,1.39%,1.13,114,35.09%,
01/09/2023 - 01/07/2026,$1881.50,1.81%,1.16,117,35.90%,
01/08/2023 - 01/07/2026,$2079.50,2.01%,1.18,121,35.54%,
01/07/2023 - 01/07/2026,$2034.50,1.97%,1.17,123,35.77%,
01/06/2023 - 01/07/2026,$2034.50,1.97%,1.17,123,35.77%,
01/05/2023 - 01/07/2026,$2001.00,1.93%,1.17,124,35.48%,
01/04/2023 - 01/07/2026,$2210.00,2.14%,1.19,131,35.11%,


Weekly

,,,,,,
TradeStation Periodical Returns:Weekly,,,,,,
,,,,,,
Mark-To-Market Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
05/07/2026,($184.50),-0.17%,0.00,1,0.00%,
28/06/2026,$207.00,0.20%,n/a,1,100.00%,
21/06/2026,$116.00,0.11%,n/a,1,100.00%,
07/06/2026,$1037.50,0.99%,n/a,1,100.00%,
31/05/2026,$1066.00,1.03%,n/a,1,100.00%,
22/03/2026,$311.50,0.30%,4.92,2,50.00%,
15/03/2026,$292.00,0.28%,2.65,3,33.33%,
08/03/2026,($157.00),-0.15%,0.49,2,50.00%,
01/03/2026,($942.50),-0.91%,0.00,3,0.00%,
22/02/2026,$126.50,0.12%,2.73,3,66.67%,
08/02/2026,($113.00),-0.11%,0.00,1,0.00%,
01/02/2026,($393.00),-0.38%,0.31,3,33.33%,
25/01/2026,($273.00),-0.26%,0.00,2,0.00%,
18/01/2026,$251.00,0.24%,n/a,1,100.00%,
11/01/2026,$90.00,0.09%,n/a,1,100.00%,
04/01/2026,($149.00),-0.14%,0.00,1,0.00%,
14/12/2025,$180.50,0.17%,n/a,1,100.00%,
07/12/2025,$511.50,0.49%,n/a,1,100.00%,
16/11/2025,($184.50),-0.18%,0.00,2,0.00%,
09/11/2025,($179.00),-0.17%,0.00,1,0.00%,
02/11/2025,($219.50),-0.21%,0.00,3,0.00%,
19/10/2025,($67.50),-0.06%,0.00,1,0.00%,
12/10/2025,($622.00),-0.59%,0.00,2,0.00%,
05/10/2025,$915.50,0.88%,n/a,1,100.00%,
21/09/2025,($50.00),-0.05%,0.00,1,0.00%,
31/08/2025,($221.00),-0.21%,0.00,1,0.00%,
24/08/2025,$82.50,0.08%,n/a,1,100.00%,
17/08/2025,($270.50),-0.26%,0.00,2,0.00%,
03/08/2025,($89.00),-0.09%,0.00,1,0.00%,
27/07/2025,$156.50,0.15%,n/a,2,100.00%,
20/07/2025,($147.00),-0.14%,0.00,1,0.00%,
15/06/2025,($854.50),-0.81%,0.00,3,0.00%,
08/06/2025,($20.00),-0.02%,0.00,1,0.00%,
25/05/2025,($119.50),-0.11%,0.00,1,0.00%,
20/04/2025,($80.00),-0.08%,0.00,1,0.00%,
06/04/2025,($1116.50),-1.05%,0.00,2,0.00%,
30/03/2025,$858.50,0.81%,3.86,3,66.67%,
23/03/2025,$762.50,0.73%,n/a,2,100.00%,
09/03/2025,$211.50,0.20%,n/a,1,100.00%,
23/02/2025,$116.00,0.11%,1.60,2,50.00%,
,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
05/07/2026 - Today,($184.50),-0.17%,0.00,1,0.00%,
28/06/2026 - 05/07/2026,$22.50,0.02%,1.12,2,50.00%,
21/06/2026 - 05/07/2026,$138.50,0.13%,1.75,3,66.67%,
14/06/2026 - 05/07/2026,$138.50,0.13%,1.75,3,66.67%,
07/06/2026 - 05/07/2026,$1176.00,1.13%,7.37,4,75.00%,
31/05/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
24/05/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
17/05/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
10/05/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
03/05/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
26/04/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
19/04/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
12/04/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
05/04/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
29/03/2026 - 05/07/2026,$2242.00,2.17%,13.15,5,80.00%,
22/03/2026 - 05/07/2026,$2553.50,2.48%,10.67,7,71.43%,
15/03/2026 - 05/07/2026,$2845.50,2.77%,7.46,10,60.00%,
08/03/2026 - 05/07/2026,$2688.50,2.61%,4.60,12,58.33%,
01/03/2026 - 05/07/2026,$1746.00,1.68%,2.03,15,46.67%,
22/02/2026 - 05/07/2026,$1872.50,1.81%,2.06,18,50.00%,
15/02/2026 - 05/07/2026,$1872.50,1.81%,2.06,18,50.00%,
08/02/2026 - 05/07/2026,$1759.50,1.70%,1.94,19,47.37%,
01/02/2026 - 05/07/2026,$1366.50,1.31%,1.56,22,45.45%,
25/01/2026 - 05/07/2026,$1093.50,1.05%,1.40,24,41.67%,
18/01/2026 - 05/07/2026,$1344.50,1.29%,1.50,25,44.00%,
11/01/2026 - 05/07/2026,$1434.50,1.38%,1.53,26,46.15%,
04/01/2026 - 05/07/2026,$1285.50,1.23%,1.45,27,44.44%,
28/12/2025 - 05/07/2026,$1285.50,1.23%,1.45,27,44.44%,
21/12/2025 - 05/07/2026,$1285.50,1.23%,1.45,27,44.44%,
14/12/2025 - 05/07/2026,$1466.00,1.41%,1.51,28,46.43%,
07/12/2025 - 05/07/2026,$1977.50,1.91%,1.69,29,48.28%,
30/11/2025 - 05/07/2026,$1977.50,1.91%,1.69,29,48.28%,
23/11/2025 - 05/07/2026,$1977.50,1.91%,1.69,29,48.28%,
16/11/2025 - 05/07/2026,$1793.00,1.73%,1.59,31,45.16%,
09/11/2025 - 05/07/2026,$1614.00,1.55%,1.50,32,43.75%,
02/11/2025 - 05/07/2026,$1394.50,1.34%,1.40,35,40.00%,
26/10/2025 - 05/07/2026,$1394.50,1.34%,1.40,35,40.00%,
19/10/2025 - 05/07/2026,$1327.00,1.27%,1.38,36,38.89%,
12/10/2025 - 05/07/2026,$705.00,0.67%,1.17,38,36.84%,
05/10/2025 - 05/07/2026,$1620.50,1.56%,1.39,39,38.46%,


Settings

,,,
,,,
TradeStation Chart Settings,,,
Symbol,@MNQU26,,
Description,Micro E-mini Nasdaq-100 Continuous Contract [Sep26],,
Interval,15 min.,,
Start Date/Time,08/07/2016 08:45:00,,
End Date/Time,10/07/2026 15:15:00,,
,,,
TradeStation Strategies Applied,,,
MVP_ProtezioneSessioneRegolare(On),,,
,,,
TradeStation Strategy Inputs,,,
MVP_ProtezioneSessioneRegolare - startEquity,0,,
MVP_ProtezioneSessioneRegolare - Ncon,1,,
MVP_ProtezioneSessioneRegolare - crosseneable,true,,
MVP_ProtezioneSessioneRegolare - StartTrade,830,,
MVP_ProtezioneSessioneRegolare - EndTrade,1400,,
MVP_ProtezioneSessioneRegolare - FineSessione,1515,,
MVP_ProtezioneSessioneRegolare - LunghezzaLong,90,,
MVP_ProtezioneSessioneRegolare - LunghezzaShort,350,,
MVP_ProtezioneSessioneRegolare - LatoLong,false,,
MVP_ProtezioneSessioneRegolare - LatoShort,true,,
MVP_ProtezioneSessioneRegolare - ChiusuraPosizioni1,1445,,
MVP_ProtezioneSessioneRegolare - ChiusuraPosizioni2,1700,,
MVP_ProtezioneSessioneRegolare - TgtPt,0.018,,
MVP_ProtezioneSessioneRegolare - StpPt,0.01,,
Slippage,$0.00,per Trade,
Interest Rate,2.00%,,
,,,
Back-testing Resolution,,,
Look-Inside-Bar Back-Testing,Disabled,,
MaxBarsBack,350,,
,,,
Position Limits,,,
Disabled: No entry orders allowed in the same direction as the currently held position.,,,
,,,
Max. shares/contracts per pos.,650000,,
,,,
Trade Size,,,
Fixed Shares/Contracts:,1,,
,,,
TradeStation Report Settings,,,
Display Periods,40,,
Standard Deviations,1,,
