

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
12,Buy,30/12/2016 14:01,Buy,$1895.9,$0.00,5,$0.00,0.00%,$40.00,25.81%,,$0.00,$0.00
,Sell,02/01/2017 18:05,Sell#2,$1895.9,,$0.00,$1695.00,,($115.00),74.19%,0.00%,$0.00,$0.00
13,Buy,20/01/2017 14:01,Buy,$1949.4,$0.00,5,$640.00,0.66%,$695.00,100.00%,,$0.00,$0.00
,Sell,23/01/2017 18:05,Sell#2,$1962.2,,$640.00,$2335.00,,$0.00,92.09%,92.09%,$0.00,$0.00
14,Buy,24/02/2017 14:01,Buy,$1998.5,$0.00,5,($50.00),-0.05%,$60.00,44.44%,,$0.00,$0.00
,Sell,26/02/2017 18:07,Sell,$1997.5,,($50.00),$2285.00,,($75.00),18.52%,-37.04%,$0.00,$0.00
15,Buy,03/03/2017 14:01,Buy,$1970.0,$0.00,5,$180.00,0.18%,$355.00,100.00%,,$0.00,$0.00
,Sell,05/03/2017 18:05,Sell,$1973.6,,$180.00,$2465.00,,$0.00,50.70%,50.70%,$0.00,$0.00
16,Buy,10/03/2017 14:01,Buy,$1942.4,$0.00,5,$210.00,0.22%,$240.00,94.12%,,$0.00,$0.00
,Sell,12/03/2017 18:05,Sell,$1946.6,,$210.00,$2675.00,,($15.00),88.24%,82.35%,$0.00,$0.00
17,Buy,17/03/2017 14:15,Buy,$1970.0,$0.00,5,$940.00,0.95%,$1090.00,87.90%,,$0.00,$0.00
,Sell,22/03/2017 18:05,Sell#2,$1988.8,,$940.00,$3615.00,,($150.00),87.90%,75.81%,$0.00,$0.00
18,Buy,24/03/2017 14:01,Buy,$1988.4,$0.00,5,$0.00,0.00%,$190.00,42.22%,,$0.00,$0.00
,Sell,26/03/2017 18:05,Sell,$1988.4,,$0.00,$3615.00,,($260.00),57.78%,0.00%,$0.00,$0.00
19,Buy,31/03/2017 14:02,Buy,$1988.0,$0.00,5,($30.00),-0.03%,$85.00,54.84%,,$0.00,$0.00
,Sell,02/04/2017 18:07,Sell,$1987.4,,($30.00),$3585.00,,($70.00),25.81%,-19.35%,$0.00,$0.00
20,Buy,07/04/2017 14:01,Buy,$1992.6,$0.00,5,$50.00,0.05%,$120.00,52.17%,,$0.00,$0.00
,Sell,09/04/2017 18:05,Sell,$1993.6,,$50.00,$3635.00,,($110.00),69.57%,21.74%,$0.00,$0.00
21,Buy,21/04/2017 14:01,Buy,$2024.4,$0.00,5,($720.00),-0.71%,$35.00,3.87%,,$0.00,$0.00
,Sell,23/04/2017 18:05,Sell,$2010.0,,($720.00),$2915.00,,($870.00),16.57%,-79.56%,$0.00,$0.00
22,Buy,28/04/2017 14:01,Buy,$2005.8,$0.00,5,$70.00,0.07%,$70.00,70.00%,,$0.00,$0.00
,Sell,30/04/2017 18:05,Sell,$2007.2,,$70.00,$2985.00,,($30.00),100.00%,70.00%,$0.00,$0.00
23,Buy,05/05/2017 14:01,Buy,$1965.9,$0.00,5,($155.00),-0.16%,$85.00,16.83%,,$0.00,$0.00
,Sell,07/05/2017 18:06,Sell,$1962.8,,($155.00),$2830.00,,($420.00),52.48%,-30.69%,$0.00,$0.00
24,Buy,19/05/2017 14:04,Buy,$1991.7,$0.00,5,$30.00,0.03%,$180.00,76.60%,,$0.00,$0.00
,Sell,21/05/2017 18:05,Sell,$1992.3,,$30.00,$2860.00,,($55.00),36.17%,12.77%,$0.00,$0.00
25,Buy,26/05/2017 14:01,Buy,$2005.3,$0.00,5,($30.00),-0.03%,$80.00,50.00%,,$0.00,$0.00
,Sell,28/05/2017 18:06,Sell,$2004.7,,($30.00),$2830.00,,($80.00),31.25%,-18.75%,$0.00,$0.00
26,Buy,09/06/2017 14:01,Buy,$2005.8,$0.00,5,($155.00),-0.15%,$65.00,26.00%,,$0.00,$0.00
,Sell,11/06/2017 18:05,Sell,$2002.7,,($155.00),$2675.00,,($185.00),12.00%,-62.00%,$0.00,$0.00
27,Buy,21/07/2017 14:01,Buy,$1988.7,$0.00,5,$790.00,0.79%,$815.00,58.42%,,$0.00,$0.00
,Sell,30/07/2017 18:09,Sell,$2004.5,,$790.00,$3465.00,,($580.00),98.21%,56.63%,$0.00,$0.00
28,Buy,18/08/2017 14:01,Buy,$2022.6,$0.00,5,($310.00),-0.31%,$0.00,0.00%,,$0.00,$0.00
,Sell,20/08/2017 18:05,Sell,$2016.4,,($310.00),$3155.00,,($335.00),7.46%,-92.54%,$0.00,$0.00
29,Buy,01/09/2017 14:01,Buy,$2057.5,$0.00,5,$510.00,0.50%,$675.00,93.75%,,$0.00,$0.00
,Sell,03/09/2017 18:05,Sell,$2067.7,,$510.00,$3665.00,,($45.00),77.08%,70.83%,$0.00,$0.00
30,Buy,15/09/2017 14:01,Buy,$2053.5,$0.00,5,($180.00),-0.18%,$5.00,2.17%,,$0.00,$0.00
,Sell,17/09/2017 18:05,Sell,$2049.9,,($180.00),$3485.00,,($225.00),19.57%,-78.26%,$0.00,$0.00
31,Buy,29/09/2017 14:01,Buy,$2013.6,$0.00,5,($205.00),-0.20%,$55.00,11.83%,,$0.00,$0.00
,Sell,01/10/2017 18:05,Sell,$2009.5,,($205.00),$3280.00,,($410.00),44.09%,-44.09%,$0.00,$0.00
32,Buy,13/10/2017 14:01,Buy,$2032.6,$0.00,5,$55.00,0.05%,$75.00,62.50%,,$0.00,$0.00
,Sell,15/10/2017 18:06,Sell,$2033.7,,$55.00,$3335.00,,($45.00),83.33%,45.83%,$0.00,$0.00
33,Buy,20/10/2017 14:01,Buy,$2009.1,$0.00,5,($370.00),-0.37%,$185.00,17.79%,,$0.00,$0.00
,Sell,29/10/2017 18:05,Sell,$2001.7,,($370.00),$2965.00,,($855.00),46.63%,-35.58%,$0.00,$0.00
34,Buy,03/11/2017 14:01,Buy,$1996.6,$0.00,5,$60.00,0.06%,$115.00,82.14%,,$0.00,$0.00
,Sell,05/11/2017 18:05,Sell,$1997.8,,$60.00,$3025.00,,($25.00),60.71%,42.86%,$0.00,$0.00
35,Buy,08/12/2017 14:01,Buy,$1972.8,$0.00,5,$15.00,0.02%,$70.00,87.50%,,$0.00,$0.00
,Sell,10/12/2017 18:06,Sell,$1973.1,,$15.00,$3040.00,,($10.00),31.25%,18.75%,$0.00,$0.00
36,Buy,22/12/2017 14:01,Buy,$2001.9,$0.00,5,($15.00),-0.01%,$70.00,73.68%,,$0.00,$0.00
,Sell,25/12/2017 18:06,Sell#2,$2001.6,,($15.00),$3025.00,,($25.00),10.53%,-15.79%,$0.00,$0.00
37,Buy,05/01/2018 14:01,Buy,$2044.7,$0.00,5,($45.00),-0.04%,$85.00,22.97%,,$0.00,$0.00
,Sell,08/01/2018 18:06,Sell#2,$2043.8,,($45.00),$2980.00,,($285.00),64.86%,-12.16%,$0.00,$0.00
38,Buy,12/01/2018 14:01,Buy,$2061.7,$0.00,5,($70.00),-0.07%,$75.00,44.12%,,$0.00,$0.00
,Sell,14/01/2018 18:05,Sell,$2060.3,,($70.00),$2910.00,,($95.00),14.71%,-41.18%,$0.00,$0.00
39,Buy,19/01/2018 14:01,Buy,$2057.9,$0.00,5,$0.00,0.00%,$70.00,28.57%,,$0.00,$0.00
,Sell,21/01/2018 18:05,Sell,$2057.9,,$0.00,$2910.00,,($175.00),71.43%,0.00%,$0.00,$0.00
40,Buy,26/01/2018 14:01,Buy,$2075.6,$0.00,5,($150.00),-0.14%,$40.00,15.38%,,$0.00,$0.00
,Sell,28/01/2018 18:05,Sell,$2072.6,,($150.00),$2760.00,,($220.00),26.92%,-57.69%,$0.00,$0.00
41,Buy,02/02/2018 14:01,Buy,$2053.8,$0.00,5,($30.00),-0.03%,$35.00,13.73%,,$0.00,$0.00
,Sell,04/02/2018 18:05,Sell,$2053.2,,($30.00),$2730.00,,($220.00),74.51%,-11.76%,$0.00,$0.00
42,Buy,09/02/2018 14:01,Buy,$2035.7,$0.00,5,$5.00,0.00%,$115.00,45.10%,,$0.00,$0.00
,Sell,11/02/2018 18:05,Sell,$2035.8,,$5.00,$2735.00,,($140.00),56.86%,1.96%,$0.00,$0.00
43,Buy,16/02/2018 14:01,Buy,$2069.5,$0.00,5,$35.00,0.03%,$35.00,15.22%,,$0.00,$0.00
,Sell,18/02/2018 18:05,Sell,$2070.2,,$35.00,$2770.00,,($195.00),100.00%,15.22%,$0.00,$0.00
44,Buy,23/02/2018 14:03,Buy,$2048.4,$0.00,5,$30.00,0.03%,$95.00,65.52%,,$0.00,$0.00
,Sell,25/02/2018 18:05,Sell,$2049.0,,$30.00,$2800.00,,($50.00),55.17%,20.69%,$0.00,$0.00
45,Buy,02/03/2018 14:01,Buy,$2041.5,$0.00,5,$70.00,0.07%,$160.00,65.31%,,$0.00,$0.00
,Sell,04/03/2018 18:05,Sell,$2042.9,,$70.00,$2870.00,,($85.00),63.27%,28.57%,$0.00,$0.00
46,Buy,16/03/2018 14:01,Buy,$2032.2,$0.00,5,($10.00),-0.01%,$5.00,6.25%,,$0.00,$0.00
,Sell,18/03/2018 18:05,Sell,$2032.0,,($10.00),$2860.00,,($75.00),81.25%,-12.50%,$0.00,$0.00
47,Buy,23/03/2018 14:01,Buy,$2065.7,$0.00,5,$45.00,0.04%,$65.00,41.94%,,$0.00,$0.00
,Sell,25/03/2018 18:05,Sell,$2066.6,,$45.00,$2905.00,,($90.00),87.10%,29.03%,$0.00,$0.00
48,Buy,20/04/2018 14:08,Buy,$2051.6,$0.00,5,($135.00),-0.13%,$10.00,5.56%,,$0.00,$0.00
,Sell,22/04/2018 18:05,Sell,$2048.9,,($135.00),$2770.00,,($170.00),19.44%,-75.00%,$0.00,$0.00
49,Buy,04/05/2018 14:01,Buy,$2026.9,$0.00,5,$45.00,0.04%,$70.00,58.33%,,$0.00,$0.00
,Sell,06/05/2018 18:09,Sell,$2027.8,,$45.00,$2815.00,,($50.00),79.17%,37.50%,$0.00,$0.00
50,Buy,11/05/2018 14:01,Buy,$2033.8,$0.00,5,($160.00),-0.16%,$0.00,0.00%,,$0.00,$0.00
,Sell,13/05/2018 18:05,Sell,$2030.6,,($160.00),$2655.00,,($210.00),23.81%,-76.19%,$0.00,$0.00
51,Buy,01/06/2018 14:01,Buy,$2006.3,$0.00,5,($85.00),-0.08%,$15.00,5.45%,,$0.00,$0.00
,Sell,03/06/2018 18:05,Sell,$2004.6,,($85.00),$2570.00,,($260.00),63.64%,-30.91%,$0.00,$0.00
52,Buy,15/06/2018 14:01,Buy,$1988.8,$0.00,5,($25.00),-0.03%,$65.00,39.39%,,$0.00,$0.00
,Sell,17/06/2018 18:05,Sell,$1988.3,,($25.00),$2545.00,,($100.00),45.45%,-15.15%,$0.00,$0.00
53,Buy,13/07/2018 14:01,Buy,$1949.0,$0.00,5,($50.00),-0.05%,$185.00,50.68%,,$0.00,$0.00
,Sell,16/07/2018 18:12,Sell#2,$1948.0,,($50.00),$2495.00,,($180.00),35.62%,-13.70%,$0.00,$0.00
54,Buy,20/07/2018 14:01,Buy,$1937.7,$0.00,5,$10.00,0.01%,$80.00,55.17%,,$0.00,$0.00
,Sell,22/07/2018 18:05,Sell,$1937.9,,$10.00,$2505.00,,($65.00),51.72%,6.90%,$0.00,$0.00
55,Buy,03/08/2018 14:01,Buy,$1920.4,$0.00,5,($45.00),-0.05%,$30.00,26.09%,,$0.00,$0.00
,Sell,05/08/2018 18:05,Sell,$1919.5,,($45.00),$2460.00,,($85.00),34.78%,-39.13%,$0.00,$0.00
56,Buy,17/08/2018 14:01,Buy,$1881.9,$0.00,5,$295.00,0.31%,$380.00,96.20%,,$0.00,$0.00
,Sell,19/08/2018 18:05,Sell,$1887.8,,$295.00,$2755.00,,($15.00),78.48%,74.68%,$0.00,$0.00
