

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
20,Sell Short,08/09/2016 12:45,SE,$8353.25,$0.00,1,($10.00),-0.01%,$165.00,91.67%,,$0.00,$0.00
,Buy to Cover,08/09/2016 13:15,SXlivS,$8353.75,,($10.00),($1555.00),,($15.00),2.78%,-5.56%,$0.00,$0.00
21,Sell Short,09/09/2016 10:30,SE,$8300.75,$0.00,1,$930.00,0.56%,$1015.00,90.22%,,$0.00,$0.00
,Buy to Cover,09/09/2016 15:00,SXeoS,$8254.25,,$930.00,($625.00),,($110.00),92.44%,82.67%,$0.00,$0.00
22,Sell Short,19/09/2016 13:00,SE,$8345.00,$0.00,1,($180.00),-0.11%,$20.00,9.52%,,$0.00,$0.00
,Buy to Cover,19/09/2016 13:15,SXlivS,$8354.00,,($180.00),($805.00),,($190.00),4.76%,-85.71%,$0.00,$0.00
23,Sell Short,20/09/2016 12:15,SE,$8354.50,$0.00,1,($50.00),-0.03%,$40.00,33.33%,,$0.00,$0.00
,Buy to Cover,20/09/2016 12:45,SXlivS,$8357.00,,($50.00),($855.00),,($80.00),25.00%,-41.67%,$0.00,$0.00
24,Sell Short,21/09/2016 11:15,SE,$8363.75,$0.00,1,($365.00),-0.22%,$235.00,30.32%,,$0.00,$0.00
,Buy to Cover,21/09/2016 13:30,SXlivS,$8382.00,,($365.00),($1220.00),,($540.00),22.58%,-47.10%,$0.00,$0.00
25,Sell Short,26/09/2016 13:00,SE,$8367.75,$0.00,1,($85.00),-0.05%,$15.00,13.04%,,$0.00,$0.00
,Buy to Cover,26/09/2016 13:15,SXlivS,$8372.00,,($85.00),($1305.00),,($100.00),13.04%,-73.91%,$0.00,$0.00
26,Sell Short,29/09/2016 12:00,SE,$8400.00,$0.00,1,($75.00),-0.04%,$560.00,82.96%,,$0.00,$0.00
,Buy to Cover,29/09/2016 13:45,SXlivS,$8403.75,,($75.00),($1380.00),,($115.00),5.93%,-11.11%,$0.00,$0.00
27,Sell Short,04/10/2016 12:45,SE,$8406.50,$0.00,1,($220.00),-0.13%,$215.00,44.33%,,$0.00,$0.00
,Buy to Cover,04/10/2016 15:00,SXlivS,$8417.50,,($220.00),($1600.00),,($270.00),10.31%,-45.36%,$0.00,$0.00
28,Sell Short,06/10/2016 10:30,SE,$8406.50,$0.00,1,($225.00),-0.13%,$30.00,11.76%,,$0.00,$0.00
,Buy to Cover,06/10/2016 10:45,SXlivS,$8417.75,,($225.00),($1825.00),,($225.00),0.00%,-88.24%,$0.00,$0.00
29,Sell Short,07/10/2016 09:00,SE,$8420.50,$0.00,1,($140.00),-0.08%,$180.00,53.73%,,$0.00,$0.00
,Buy to Cover,07/10/2016 09:30,SXlivS,$8427.50,,($140.00),($1965.00),,($155.00),4.48%,-41.79%,$0.00,$0.00
30,Sell Short,11/10/2016 09:15,SE,$8421.50,$0.00,1,$935.00,0.56%,$1280.00,98.08%,,$0.00,$0.00
,Buy to Cover,11/10/2016 15:00,SXeoS,$8374.75,,$935.00,($1030.00),,($25.00),73.56%,71.65%,$0.00,$0.00
31,Sell Short,17/10/2016 09:15,SE,$8345.50,$0.00,1,($185.00),-0.11%,$15.00,5.77%,,$0.00,$0.00
,Buy to Cover,17/10/2016 09:30,SXlivS,$8354.75,,($185.00),($1215.00),,($245.00),23.08%,-71.15%,$0.00,$0.00
32,Sell Short,20/10/2016 10:00,SE,$8364.50,$0.00,1,($305.00),-0.18%,$70.00,18.67%,,$0.00,$0.00
,Buy to Cover,20/10/2016 11:15,SXlivS,$8379.75,,($305.00),($1520.00),,($305.00),0.00%,-81.33%,$0.00,$0.00
33,Sell Short,27/10/2016 09:45,SE,$8410.75,$0.00,1,($80.00),-0.05%,$225.00,62.50%,,$0.00,$0.00
,Buy to Cover,27/10/2016 11:15,SXlivS,$8414.75,,($80.00),($1600.00),,($135.00),15.28%,-22.22%,$0.00,$0.00
34,Sell Short,31/10/2016 13:30,SE,$8359.00,$0.00,1,($90.00),-0.05%,$60.00,36.36%,,$0.00,$0.00
,Buy to Cover,31/10/2016 14:30,SXlivS,$8363.50,,($90.00),($1690.00),,($105.00),9.09%,-54.55%,$0.00,$0.00
35,Sell Short,01/11/2016 09:00,SE,$8354.75,$0.00,1,$840.00,0.50%,$1530.00,96.53%,,$0.00,$0.00
,Buy to Cover,01/11/2016 15:00,SXeoS,$8312.75,,$840.00,($850.00),,($55.00),56.47%,53.00%,$0.00,$0.00
36,Sell Short,02/11/2016 12:45,SE,$8285.75,$0.00,1,($45.00),-0.03%,$35.00,35.00%,,$0.00,$0.00
,Buy to Cover,02/11/2016 13:00,SXlivS,$8288.00,,($45.00),($895.00),,($65.00),20.00%,-45.00%,$0.00,$0.00
37,Sell Short,03/11/2016 14:45,SE,$8239.00,$0.00,1,$170.00,0.10%,$180.00,94.74%,,$0.00,$0.00
,Buy to Cover,03/11/2016 15:00,SXeoS,$8230.50,,$170.00,($725.00),,($10.00),94.74%,89.47%,$0.00,$0.00
38,Sell Short,10/11/2016 09:30,SE,$8329.25,$0.00,1,$565.00,0.34%,$1810.00,88.73%,,$0.00,$0.00
,Buy to Cover,10/11/2016 15:00,SXeoS,$8301.00,,$565.00,($160.00),,($230.00),38.97%,27.70%,$0.00,$0.00
39,Sell Short,14/11/2016 10:15,SE,$8247.25,$0.00,1,($125.00),-0.08%,$300.00,48.00%,,$0.00,$0.00
,Buy to Cover,14/11/2016 11:00,SXlivS,$8253.50,,($125.00),($285.00),,($325.00),32.00%,-20.00%,$0.00,$0.00
40,Sell Short,29/11/2016 09:15,SE,$8413.25,$0.00,1,($175.00),-0.10%,$10.00,5.13%,,$0.00,$0.00
,Buy to Cover,29/11/2016 09:30,SXlivS,$8422.00,,($175.00),($460.00),,($185.00),5.13%,-89.74%,$0.00,$0.00
41,Sell Short,30/11/2016 09:15,SE,$8425.00,$0.00,1,$845.00,0.50%,$1030.00,96.71%,,$0.00,$0.00
,Buy to Cover,30/11/2016 15:00,SXeoS,$8382.75,,$845.00,$385.00,,($35.00),82.63%,79.34%,$0.00,$0.00
42,Sell Short,01/12/2016 09:00,SE,$8350.00,$0.00,1,$1240.00,0.74%,$1355.00,86.86%,,$0.00,$0.00
,Buy to Cover,01/12/2016 15:00,SXeoS,$8288.00,,$1240.00,$1625.00,,($205.00),92.63%,79.49%,$0.00,$0.00
43,Sell Short,12/12/2016 11:30,SE,$8416.50,$0.00,1,($100.00),-0.06%,$80.00,41.03%,,$0.00,$0.00
,Buy to Cover,12/12/2016 12:00,SXlivS,$8421.50,,($100.00),$1525.00,,($115.00),7.69%,-51.28%,$0.00,$0.00
44,Sell Short,16/12/2016 09:00,SE,$8498.00,$0.00,1,($95.00),-0.06%,$90.00,48.65%,,$0.00,$0.00
,Buy to Cover,16/12/2016 09:15,SXlivS,$8502.75,,($95.00),$1430.00,,($95.00),0.00%,-51.35%,$0.00,$0.00
45,Sell Short,21/12/2016 10:15,SE,$8501.25,$0.00,1,($115.00),-0.07%,$15.00,9.38%,,$0.00,$0.00
,Buy to Cover,21/12/2016 11:00,SXlivS,$8507.00,,($115.00),$1315.00,,($145.00),18.75%,-71.88%,$0.00,$0.00
46,Sell Short,22/12/2016 09:00,SE,$8496.25,$0.00,1,$125.00,0.07%,$370.00,66.07%,,$0.00,$0.00
,Buy to Cover,22/12/2016 15:00,SXeoS,$8490.00,,$125.00,$1440.00,,($190.00),56.25%,22.32%,$0.00,$0.00
47,Sell Short,28/12/2016 09:15,SE,$8508.25,$0.00,1,$520.00,0.31%,$545.00,80.15%,,$0.00,$0.00
,Buy to Cover,28/12/2016 15:00,SXeoS,$8482.25,,$520.00,$1960.00,,($135.00),96.32%,76.47%,$0.00,$0.00
48,Sell Short,29/12/2016 11:30,SE,$8464.50,$0.00,1,($150.00),-0.09%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,29/12/2016 11:45,SXlivS,$8472.00,,($150.00),$1810.00,,($185.00),18.92%,-81.08%,$0.00,$0.00
49,Sell Short,30/12/2016 09:15,SE,$8441.75,$0.00,1,$485.00,0.29%,$620.00,86.11%,,$0.00,$0.00
,Buy to Cover,30/12/2016 15:00,SXeoS,$8417.50,,$485.00,$2295.00,,($100.00),81.25%,67.36%,$0.00,$0.00
50,Sell Short,11/01/2017 10:45,SE,$8582.25,$0.00,1,($240.00),-0.14%,$280.00,51.85%,,$0.00,$0.00
,Buy to Cover,11/01/2017 11:15,SXlivS,$8594.25,,($240.00),$2055.00,,($260.00),3.70%,-44.44%,$0.00,$0.00
51,Sell Short,12/01/2017 09:00,SE,$8577.75,$0.00,1,($110.00),-0.06%,$535.00,75.89%,,$0.00,$0.00
,Buy to Cover,12/01/2017 12:30,SXlivS,$8583.25,,($110.00),$1945.00,,($170.00),8.51%,-15.60%,$0.00,$0.00
