

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
27,Sell Short,29/09/2016 10:00,StochES2,$8417.50,$0.00,3,$21.00,0.04%,$211.50,75.00%,,$0.00,$0.00
,Buy to Cover,29/09/2016 13:45,StochSx2,$8414.00,,$21.00,($1026.00),,($70.50),32.45%,7.45%,$0.00,$0.00
28,Sell Short,04/10/2016 10:30,StochES2,$8434.00,$0.00,3,$37.50,0.07%,$168.00,64.00%,,$0.00,$0.00
,Buy to Cover,04/10/2016 15:00,EoDS,$8427.75,,$37.50,($988.50),,($94.50),50.29%,14.29%,$0.00,$0.00
29,Sell Short,06/10/2016 09:00,StochES1,$8431.25,$0.00,3,($75.00),-0.15%,$96.00,48.12%,,$0.00,$0.00
,Buy to Cover,06/10/2016 11:15,StochSx2,$8443.75,,($75.00),($1063.50),,($103.50),14.29%,-37.59%,$0.00,$0.00
30,Sell Short,07/10/2016 09:00,StochES1,$8430.75,$0.00,3,($42.00),-0.08%,$54.00,53.73%,,$0.00,$0.00
,Buy to Cover,07/10/2016 09:30,StochSx2,$8437.75,,($42.00),($1105.50),,($46.50),4.48%,-41.79%,$0.00,$0.00
31,Sell Short,11/10/2016 09:15,StochES2,$8431.75,$0.00,3,$280.50,0.55%,$384.00,98.08%,,$0.00,$0.00
,Buy to Cover,11/10/2016 15:00,EoDS,$8385.00,,$280.50,($825.00),,($7.50),73.56%,71.65%,$0.00,$0.00
32,Sell Short,17/10/2016 09:00,StochES1,$8359.25,$0.00,3,($111.00),-0.22%,$31.50,20.00%,,$0.00,$0.00
,Buy to Cover,17/10/2016 09:45,StochSx2,$8377.75,,($111.00),($936.00),,($126.00),9.52%,-70.48%,$0.00,$0.00
33,Sell Short,20/10/2016 13:15,StochES2,$8386.25,$0.00,3,($90.00),-0.18%,$6.00,5.00%,,$0.00,$0.00
,Buy to Cover,20/10/2016 14:15,StochSx2,$8401.25,,($90.00),($1026.00),,($114.00),20.00%,-75.00%,$0.00,$0.00
34,Sell Short,26/10/2016 10:45,StochES2,$8444.00,$0.00,3,$102.00,0.20%,$208.50,95.86%,,$0.00,$0.00
,Buy to Cover,26/10/2016 15:00,EoDS,$8427.00,,$102.00,($924.00),,($9.00),51.03%,46.90%,$0.00,$0.00
35,Sell Short,09/11/2016 09:00,StochES1,$8330.75,$0.00,3,($174.00),-0.35%,$18.00,6.90%,,$0.00,$0.00
,Buy to Cover,09/11/2016 09:15,StochSx2,$8359.75,,($174.00),($1098.00),,($243.00),26.44%,-66.67%,$0.00,$0.00
36,Sell Short,10/11/2016 09:30,StochES2,$8339.50,$0.00,3,$6.00,0.01%,$543.00,88.73%,,$0.00,$0.00
,Buy to Cover,10/11/2016 14:15,StochSx2,$8338.50,,$6.00,($1092.00),,($69.00),12.25%,0.98%,$0.00,$0.00
37,Sell Short,23/11/2016 09:00,StochES1,$8411.50,$0.00,3,($39.00),-0.08%,$69.00,56.79%,,$0.00,$0.00
,Buy to Cover,23/11/2016 15:00,EoDS,$8418.00,,($39.00),($1131.00),,($52.50),11.11%,-32.10%,$0.00,$0.00
38,Sell Short,28/11/2016 14:45,StochES2,$8427.50,$0.00,3,$16.50,0.03%,$16.50,52.38%,,$0.00,$0.00
,Buy to Cover,28/11/2016 15:00,EoDS,$8424.75,,$16.50,($1114.50),,($15.00),100.00%,52.38%,$0.00,$0.00
39,Sell Short,29/11/2016 15:00,StochES2,$8441.00,$0.00,3,$0.00,0.00%,$0.00,100.00%,,$0.00,$0.00
,Buy to Cover,29/11/2016 15:00,EoDS,$8441.00,,$0.00,($1114.50),,$0.00,100.00%,100.00%,$0.00,$0.00
40,Sell Short,30/11/2016 09:15,StochES2,$8435.25,$0.00,3,$253.50,0.50%,$309.00,96.71%,,$0.00,$0.00
,Buy to Cover,30/11/2016 15:00,EoDS,$8393.00,,$253.50,($861.00),,($10.50),82.63%,79.34%,$0.00,$0.00
41,Sell Short,07/12/2016 09:15,StochES2,$8333.50,$0.00,3,($109.50),-0.22%,$1.50,1.32%,,$0.00,$0.00
,Buy to Cover,07/12/2016 09:30,StochSx2,$8351.75,,($109.50),($970.50),,($112.50),2.63%,-96.05%,$0.00,$0.00
42,Sell Short,12/12/2016 09:00,StochES1,$8437.50,$0.00,3,($73.50),-0.15%,$10.50,12.28%,,$0.00,$0.00
,Buy to Cover,12/12/2016 09:15,StochSx2,$8449.75,,($73.50),($1044.00),,($75.00),1.75%,-85.96%,$0.00,$0.00
43,Sell Short,12/12/2016 09:45,StochES2,$8431.50,$0.00,3,($36.00),-0.07%,$52.50,42.68%,,$0.00,$0.00
,Buy to Cover,12/12/2016 15:00,EoDS,$8437.50,,($36.00),($1080.00),,($70.50),28.05%,-29.27%,$0.00,$0.00
44,Sell Short,15/12/2016 13:15,StochES2,$8495.50,$0.00,3,($90.00),-0.18%,$33.00,24.18%,,$0.00,$0.00
,Buy to Cover,15/12/2016 15:00,StochSx2,$8510.50,,($90.00),($1170.00),,($103.50),9.89%,-65.93%,$0.00,$0.00
45,Sell Short,19/12/2016 14:45,StochES2,$8501.75,$0.00,3,$0.00,0.00%,$7.50,25.00%,,$0.00,$0.00
