

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,18/08/2016 16:50,SX,$2102.4,,($20.00),$5120.00,,($260.00),30.77%,-2.56%,$0.00,$0.00
12,Sell Short,19/08/2016 03:50,SE,$2097.1,$0.00,1,$690.00,0.33%,$930.00,77.50%,,$0.00,$0.00
,Buy to Cover,19/08/2016 16:50,SX,$2090.2,,$690.00,$5810.00,,($270.00),80.00%,57.50%,$0.00,$0.00
13,Buy,23/08/2016 02:45,LE,$2089.4,$0.00,1,($90.00),-0.04%,$520.00,70.27%,,$0.00,$0.00
,Sell,23/08/2016 16:50,LX,$2088.5,,($90.00),$5720.00,,($220.00),17.57%,-12.16%,$0.00,$0.00
14,Sell Short,24/08/2016 00:15,SE,$2086.8,$0.00,1,$1320.00,0.63%,$1400.00,81.87%,,$0.00,$0.00
,Buy to Cover,24/08/2016 16:50,SX,$2073.6,,$1320.00,$7040.00,,($310.00),95.32%,77.19%,$0.00,$0.00
15,Buy,26/08/2016 00:10,LE,$2073.2,$0.00,1,($240.00),-0.12%,$1860.00,75.00%,,$0.00,$0.00
,Sell,26/08/2016 16:50,LX,$2070.8,,($240.00),$6800.00,,($620.00),15.32%,-9.68%,$0.00,$0.00
16,Sell Short,30/08/2016 01:55,SE,$2071.5,$0.00,1,$1200.00,0.58%,$1370.00,97.86%,,$0.00,$0.00
,Buy to Cover,30/08/2016 16:50,SX,$2059.5,,$1200.00,$8000.00,,($30.00),87.86%,85.71%,$0.00,$0.00
17,Buy,08/09/2016 00:55,LE,$2097.7,$0.00,1,($1020.00),-0.49%,$200.00,13.51%,,$0.00,$0.00
,Sell,08/09/2016 16:50,LX,$2087.5,,($1020.00),$6980.00,,($1280.00),17.57%,-68.92%,$0.00,$0.00
18,Buy,12/09/2016 02:00,LE,$2078.7,$0.00,1,($190.00),-0.09%,$90.00,8.57%,,$0.00,$0.00
,Sell,12/09/2016 16:50,LX,$2076.8,,($190.00),$6790.00,,($960.00),73.33%,-18.10%,$0.00,$0.00
19,Sell Short,15/09/2016 00:10,SE,$2071.6,$0.00,1,$790.00,0.38%,$1370.00,67.16%,,$0.00,$0.00
,Buy to Cover,15/09/2016 16:50,SX,$2063.7,,$790.00,$7580.00,,($670.00),71.57%,38.73%,$0.00,$0.00
20,Buy,19/09/2016 03:05,LE,$2066.0,$0.00,1,($360.00),-0.17%,$160.00,23.53%,,$0.00,$0.00
,Sell,19/09/2016 16:50,LX,$2062.4,,($360.00),$7220.00,,($520.00),23.53%,-52.94%,$0.00,$0.00
21,Buy,20/09/2016 03:00,LE,$2065.5,$0.00,1,($180.00),-0.09%,$140.00,23.73%,,$0.00,$0.00
,Sell,20/09/2016 16:50,LX,$2063.7,,($180.00),$7040.00,,($450.00),45.76%,-30.51%,$0.00,$0.00
22,Sell Short,21/09/2016 00:20,SE,$2063.4,$0.00,1,($290.00),-0.14%,$10.00,3.33%,,$0.00,$0.00
,Buy to Cover,21/09/2016 00:20,LE,$2066.3,,($290.00),$6750.00,,($290.00),0.00%,-96.67%,$0.00,$0.00
23,Buy,21/09/2016 00:20,LE,$2066.3,$0.00,1,$1830.00,0.89%,$1880.00,66.20%,,$0.00,$0.00
,Sell,21/09/2016 16:50,LX,$2084.6,,$1830.00,$8580.00,,($960.00),98.24%,64.44%,$0.00,$0.00
24,Sell Short,23/09/2016 00:30,SE,$2083.3,$0.00,1,($420.00),-0.20%,$10.00,1.41%,,$0.00,$0.00
,Buy to Cover,23/09/2016 16:50,SX,$2087.5,,($420.00),$8160.00,,($700.00),39.44%,-59.15%,$0.00,$0.00
25,Buy,26/09/2016 03:40,LE,$2087.0,$0.00,1,$70.00,0.03%,$490.00,58.33%,,$0.00,$0.00
,Sell,26/09/2016 16:50,LX,$2087.7,,$70.00,$8230.00,,($350.00),50.00%,8.33%,$0.00,$0.00
26,Sell Short,29/09/2016 02:10,SE,$2071.8,$0.00,1,$260.00,0.13%,$740.00,81.32%,,$0.00,$0.00
,Buy to Cover,29/09/2016 16:50,SX,$2069.2,,$260.00,$8490.00,,($170.00),47.25%,28.57%,$0.00,$0.00
27,Sell Short,04/10/2016 03:10,SE,$2055.9,$0.00,1,$3890.00,1.89%,$4110.00,93.62%,,$0.00,$0.00
,Buy to Cover,04/10/2016 16:50,SX,$2017.0,,$3890.00,$12380.00,,($280.00),94.99%,88.61%,$0.00,$0.00
28,Sell Short,11/10/2016 04:05,SE,$2004.7,$0.00,1,$440.00,0.22%,$460.00,63.89%,,$0.00,$0.00
,Buy to Cover,11/10/2016 16:50,SX,$2000.3,,$440.00,$12820.00,,($260.00),97.22%,61.11%,$0.00,$0.00
29,Sell Short,13/10/2016 04:45,SE,$2004.6,$0.00,1,$0.00,0.00%,$370.00,42.05%,,$0.00,$0.00
,Buy to Cover,13/10/2016 16:50,SX,$2004.6,,$0.00,$12820.00,,($510.00),57.95%,0.00%,$0.00,$0.00
30,Sell Short,14/10/2016 00:15,SE,$2002.1,$0.00,1,$350.00,0.17%,$940.00,68.12%,,$0.00,$0.00
,Buy to Cover,14/10/2016 16:50,SX,$1998.6,,$350.00,$13170.00,,($440.00),57.25%,25.36%,$0.00,$0.00
31,Buy,18/10/2016 02:25,LE,$2007.7,$0.00,1,$160.00,0.08%,$370.00,44.05%,,$0.00,$0.00
